,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,final_bonus,displayed_bonus,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,time_diff
21,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,992,2PartPilot2Part1,2.26,3.26,chinchilla,0,1,7,1,2020-11-28,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",32.46666666666667
22,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,993,2PartPilot2Part1,2.31,3.31,chinchilla,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.766666666666666
23,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,994,2PartPilot2Part1,2.45,3.45,chinchilla,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",39.916666666666664
24,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-11-27,2020-11-28,2020-11-28,0.0,3,debug,917,2PartPilot2Part1,2.33,3.33,chinchilla,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.716666666666665
25,chrome,windows,UNKNOWN,2,0,irlexp7_1_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,995,2PartPilot2Part1,0.44,1.44,chinchilla,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",33.71666666666667
26,firefox,macos,UNKNOWN,2,0,irlexp7_1_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,996,2PartPilot2Part1,1.33,2.33,chinchilla,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.033333333333335
27,chrome,chromeos,UNKNOWN,3,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,997,2PartPilot2Part1,1.88,2.88,porcupine,0,1,7,1,2020-11-28,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.05
28,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,918,2PartPilot2Part1,1.46,2.46,porcupine,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",41.4
29,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,998,2PartPilot2Part1,2.31,3.31,porcupine,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",36.28333333333333
30,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,999,2PartPilot2Part1,2.36,3.36,porcupine,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",18.516666666666666
31,chrome,windows,UNKNOWN,3,0,irlexp7_1_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,921,2PartPilot2Part1,2.48,3.48,porcupine,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",29.8
32,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,920,2PartPilot2Part1,1.97,2.97,guanaco,0,1,7,1,2020-11-28,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.333333333333332
33,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1000,2PartPilot2Part1,1.27,2.27,guanaco,0,1,7,1,2020-11-28,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.233333333333334
