,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,final_bonus,displayed_bonus,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,time_diff
123,firefox,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,621,2PartPilot3Part1,2.39,3.39,bighorn,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",32.9
125,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,623,2PartPilot3Part1,0.93,1.93,bighorn,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.85
126,firefox,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,624,2PartPilot3Part1,1.26,2.26,bighorn,0,1,7,1,2020-12-09,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.683333333333334
127,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,625,2PartPilot3Part1,0.38,1.38,bighorn,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.85
128,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,626,2PartPilot3Part1,0.67,1.67,bighorn,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",36.38333333333333
129,firefox,macos,UNKNOWN,1,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,627,2PartPilot3Part1,2.35,3.35,bighorn,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",34.016666666666666
131,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,629,2PartPilot3Part1,2.15,3.15,bighorn,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.216666666666665
132,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,630,2PartPilot3Part1,0.12,1.12,bighorn,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.2
133,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,631,2PartPilot3Part1,0.15,1.15,bighorn,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.433333333333334
134,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,632,2PartPilot3Part1,0.67,1.67,bighorn,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.316666666666666
135,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,633,2PartPilot3Part1,2.51,3.51,bighorn,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.066666666666666
136,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,634,2PartPilot3Part1,2.4,3.4,chinchilla,0,1,7,1,2020-12-15,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",36.25
137,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,635,2PartPilot3Part1,,,chinchilla,0,1,7,1,2020-12-14,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",41.96666666666667
138,chrome,macos,UNKNOWN,2,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,636,2PartPilot3Part1,2.39,3.39,chinchilla,0,1,7,1,2020-12-13,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",32.18333333333333
139,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,637,2PartPilot3Part1,2.25,3.25,chinchilla,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.766666666666666
140,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,638,2PartPilot3Part1,0.43,1.43,chinchilla,0,1,7,1,2020-12-11,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.766666666666666
141,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,639,2PartPilot3Part1,2.32,3.32,chinchilla,0,1,7,1,2020-12-11,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.7
142,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,640,2PartPilot3Part1,0.77,1.77,chinchilla,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.683333333333334
143,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,641,2PartPilot3Part1,2.5,3.5,chinchilla,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.916666666666668
144,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,642,2PartPilot3Part1,2.32,3.32,chinchilla,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.783333333333335
145,firefox,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,643,2PartPilot3Part1,2.24,3.24,chinchilla,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",34.35
146,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,644,2PartPilot3Part1,2.17,3.17,chinchilla,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",40.4
147,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,645,2PartPilot3Part1,2.17,3.17,chinchilla,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.316666666666666
148,firefox,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,646,2PartPilot3Part1,0.74,1.74,chinchilla,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.283333333333335
149,chrome,macos,UNKNOWN,2,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,647,2PartPilot3Part1,2.15,3.15,chinchilla,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.25
150,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,648,2PartPilot3Part1,2.39,3.39,chinchilla,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",42.38333333333333
151,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,649,2PartPilot3Part1,2.01,3.01,chinchilla,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.716666666666665
152,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-08,0.0,3,debug,650,2PartPilot3Part1,1.48,2.48,chinchilla,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.016666666666666
153,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,651,2PartPilot3Part1,2.46,3.46,chinchilla,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",34.083333333333336
154,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,652,2PartPilot3Part1,1.47,2.47,chinchilla,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",15.716666666666667
155,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,653,2PartPilot3Part1,0.09,1.09,chinchilla,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.95
156,safari,macos,UNKNOWN,3,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-15,0.0,3,debug,654,2PartPilot3Part1,2.14,3.14,porcupine,0,1,7,1,2020-12-14,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",47.03333333333333
157,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,655,2PartPilot3Part1,2.42,3.42,porcupine,0,1,7,1,2020-12-13,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.8
158,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,656,2PartPilot3Part1,2.4,3.4,porcupine,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.483333333333334
159,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,657,2PartPilot3Part1,0.0,1.0,porcupine,0,1,7,1,2020-12-11,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.983333333333334
160,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,658,2PartPilot3Part1,2.4,3.4,porcupine,0,1,7,1,2020-12-11,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",39.25
161,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,659,2PartPilot3Part1,2.39,3.39,porcupine,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.316666666666666
162,chrome,macos,UNKNOWN,3,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,660,2PartPilot3Part1,0.0,1.0,porcupine,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.066666666666666
163,chrome,macos,UNKNOWN,3,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,661,2PartPilot3Part1,2.45,3.45,porcupine,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",16.0
164,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,662,2PartPilot3Part1,0.15,1.15,porcupine,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",41.63333333333333
165,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-09,2020-12-10,2020-12-10,0.0,3,debug,663,2PartPilot3Part1,2.41,3.41,porcupine,0,1,7,1,2020-12-09,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.3
166,chrome,macos,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,664,2PartPilot3Part1,0.0,1.0,porcupine,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",27.45
167,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,665,2PartPilot3Part1,2.15,3.15,porcupine,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.166666666666668
168,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,666,2PartPilot3Part1,2.32,3.32,porcupine,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",37.75
169,chrome,chromeos,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,667,2PartPilot3Part1,2.4,3.4,porcupine,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.95
170,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,668,2PartPilot3Part1,2.22,3.22,porcupine,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",34.93333333333333
171,firefox,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,669,2PartPilot3Part1,2.39,3.39,porcupine,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.383333333333333
172,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,670,2PartPilot3Part1,1.83,2.83,porcupine,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.35
173,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,671,2PartPilot3Part1,2.19,3.19,porcupine,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.983333333333334
175,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,673,2PartPilot3Part1,2.14,3.14,guanaco,0,1,7,1,2020-12-14,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",39.2
176,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,674,2PartPilot3Part1,0.01,1.01,guanaco,0,1,7,1,2020-12-13,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.983333333333334
177,chrome,chromeos,UNKNOWN,4,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,675,2PartPilot3Part1,0.1,1.1,guanaco,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.71666666666667
178,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,676,2PartPilot3Part1,2.1,3.1,guanaco,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.183333333333334
179,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,677,2PartPilot3Part1,1.09,2.09,guanaco,0,1,7,1,2020-12-11,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.166666666666668
180,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,678,2PartPilot3Part1,2.6,3.6,guanaco,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.7
181,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,680,2PartPilot3Part1,0.4,1.4,guanaco,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",42.68333333333333
182,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,681,2PartPilot3Part1,2.28,3.28,guanaco,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.516666666666666
183,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,682,2PartPilot3Part1,0.92,1.92,guanaco,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",36.3
184,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,683,2PartPilot3Part1,2.81,3.81,guanaco,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.9
185,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,684,2PartPilot3Part1,2.55,3.55,guanaco,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",33.666666666666664
186,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,685,2PartPilot3Part1,0.44,1.44,guanaco,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.866666666666667
187,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,686,2PartPilot3Part1,2.27,3.27,guanaco,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",46.03333333333333
188,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,687,2PartPilot3Part1,2.39,3.39,guanaco,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.633333333333333
189,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,688,2PartPilot3Part1,2.32,3.32,guanaco,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.033333333333335
190,chrome,macos,UNKNOWN,4,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,689,2PartPilot3Part1,0.0,1.0,guanaco,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.816666666666666
191,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,690,2PartPilot3Part1,0.8,1.8,guanaco,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",18.066666666666666
192,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,691,2PartPilot3Part1,2.81,3.81,guanaco,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.8
193,firefox,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,692,2PartPilot3Part1,0.21,1.21,walrus,0,1,7,1,2020-12-13,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",39.96666666666667
194,safari,macos,UNKNOWN,5,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,693,2PartPilot3Part1,2.35,3.35,walrus,0,1,7,1,2020-12-13,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.8
195,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,694,2PartPilot3Part1,2.32,3.32,walrus,0,1,7,1,2020-12-12,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",27.216666666666665
196,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,695,2PartPilot3Part1,2.67,3.67,walrus,0,1,7,1,2020-12-12,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",11.683333333333334
197,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,696,2PartPilot3Part1,2.13,3.13,walrus,0,1,7,1,2020-12-11,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.4
198,chrome,macos,UNKNOWN,5,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,697,2PartPilot3Part1,1.76,2.76,walrus,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",18.55
199,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,698,2PartPilot3Part1,2.49,3.49,walrus,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",31.583333333333332
200,chrome,macos,UNKNOWN,5,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,699,2PartPilot3Part1,2.41,3.41,walrus,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",15.316666666666666
201,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,700,2PartPilot3Part1,0.46,1.46,walrus,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.733333333333334
202,chrome,macos,UNKNOWN,5,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,701,2PartPilot3Part1,0.48,1.48,walrus,0,1,7,1,2020-12-09,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",13.4
203,chrome,macos,UNKNOWN,5,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,702,2PartPilot3Part1,0.15,1.15,walrus,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.6
204,chrome,macos,UNKNOWN,5,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,703,2PartPilot3Part1,2.34,3.34,walrus,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.166666666666668
205,firefox,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,704,2PartPilot3Part1,2.34,3.34,walrus,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.733333333333334
206,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,705,2PartPilot3Part1,2.74,3.74,walrus,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",18.383333333333333
207,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,706,2PartPilot3Part1,2.53,3.53,walrus,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.383333333333333
208,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,707,2PartPilot3Part1,2.66,3.66,walrus,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.966666666666665
209,chrome,macos,UNKNOWN,5,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,708,2PartPilot3Part1,2.63,3.63,walrus,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.75
