,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,final_bonus,displayed_bonus,time_diff
57,chrome,windows,en-US,4,0,irlexp10_1,2022-03-09 15:29:53.165246,2022-03-09 15:31:52.526181,2022-03-09 15:41:46.305494,0.0,3,live,2287,methods_main,guanaco,0,0,7,1,Wed Mar 09 2022 07:29:56 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,1.25,1.25,11.883333333333333
58,chrome,windows,en-US,4,0,irlexp10_1,2022-03-09 14:55:37.012474,2022-03-09 15:00:10.377216,2022-03-09 15:10:09.613118,0.0,3,live,2229,methods_main,guanaco,0,0,7,1,Wed Mar 09 2022 09:55:36 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.32,3.32,14.533333333333333
59,chrome,windows,en-US,4,0,irlexp10_1,2022-03-09 14:52:39.130456,2022-03-09 14:52:49.348148,2022-03-09 15:04:57.355153,0.0,3,live,2212,methods_main,guanaco,0,0,7,1,Wed Mar 09 2022 09:52:47 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.37,3.37,12.3
60,firefox,windows,en-US,5,0,irlexp10_1,2022-03-09 16:10:39.014373,2022-03-09 16:10:44.737402,2022-03-09 16:20:42.317204,0.0,3,live,2322,methods_main,walrus,0,0,7,1,Wed Mar 09 2022 08:10:42 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.41,3.41,10.05
61,chrome,windows,en-US,5,0,irlexp10_1,2022-03-09 15:10:03.868485,2022-03-09 15:11:46.967583,2022-03-09 15:22:36.410873,0.0,3,live,2275,methods_main,walrus,0,0,7,1,Wed Mar 09 2022 09:10:05 GMT-0600 (Central Standard Time),0.002,2_4_24,312,2.97,2.97,12.533333333333333
62,chrome,windows,en-US,5,0,irlexp10_1,2022-03-09 15:05:46.787780,2022-03-09 15:05:53.456574,2022-03-09 15:14:35.732954,0.0,3,live,2231,methods_main,walrus,0,0,7,1,Wed Mar 09 2022 09:05:50 GMT-0600 (Central Standard Time),0.002,2_4_24,312,2.35,2.35,8.8
63,chrome,windows,en-US,5,0,irlexp10_1,2022-03-09 14:52:37.827922,2022-03-09 15:01:33.428935,2022-03-09 15:12:18.536433,0.0,3,live,2232,methods_main,walrus,0,0,7,1,Wed Mar 09 2022 08:52:39 GMT-0600 (Central Standard Time),0.002,2_4_24,312,1.34,1.34,19.666666666666668
64,chrome,windows,en-US,5,0,irlexp10_1,2022-03-09 14:56:12.454203,2022-03-09 14:58:05.022471,2022-03-09 15:08:55.199979,0.0,3,live,2233,methods_main,walrus,0,0,7,1,Wed Mar 09 2022 09:56:15 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,1.61,1.61,12.7
65,chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 18:59:23.924213,2022-03-09 19:00:57.353192,2022-03-09 19:10:08.532007,0.0,3,live,2366,methods_main,dromedary,0,0,7,1,Wed Mar 09 2022 10:59:25 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.47,3.47,10.733333333333333
66,chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 15:12:49.852981,2022-03-09 15:16:36.033186,2022-03-09 15:29:56.364147,0.0,3,live,2276,methods_main,dromedary,0,0,7,1,Wed Mar 09 2022 10:12:51 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.42,3.42,17.1
68,chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 14:56:52.592910,2022-03-09 14:56:57.962236,2022-03-09 15:09:52.153544,0.0,3,live,2234,methods_main,dromedary,0,0,7,1,Wed Mar 09 2022 08:56:53 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.55,3.55,12.983333333333333
69,chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 14:55:43.438278,2022-03-09 14:55:58.125654,2022-03-09 15:09:10.346093,0.0,3,live,2235,methods_main,dromedary,0,0,7,1,Wed Mar 09 2022 08:54:58 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.16,3.16,13.433333333333334
70,chrome,windows,en-US,7,0,irlexp10_1,2022-03-09 17:45:06.141332,2022-03-09 17:46:29.036778,2022-03-09 18:00:28.018698,0.0,3,live,2361,methods_main,aoudad,0,0,7,1,Wed Mar 09 2022 10:45:08 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,,,15.35
71,chrome,windows,en-US,7,0,irlexp10_1,2022-03-09 16:12:59.438913,2022-03-09 16:15:01.385140,2022-03-09 16:24:58.213861,0.0,3,live,2323,methods_main,aoudad,0,0,7,1,Wed Mar 09 2022 10:13:00 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.44,3.44,11.966666666666667
72,firefox,windows,en-US,7,0,irlexp10_1,2022-03-09 15:14:55.566854,2022-03-09 15:15:09.829774,2022-03-09 15:29:12.776088,0.0,3,live,2277,methods_main,aoudad,0,0,7,1,Wed Mar 09 2022 10:14:57 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.16,3.16,14.283333333333333
73,chrome,windows,en-US,7,0,irlexp10_1,2022-03-09 14:59:27.140159,2022-03-09 15:02:23.335224,2022-03-09 15:13:18.154519,0.0,3,live,2236,methods_main,aoudad,0,0,7,1,Wed Mar 09 2022 07:59:30 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,3.05,3.05,13.85
74,chrome,windows,en-US,7,0,irlexp10_1,2022-03-09 14:55:27.670936,2022-03-09 14:55:52.332834,2022-03-14 09:02:36.832910,0.0,3,live,2237,methods_main,aoudad,0,0,7,1,Wed Mar 09 2022 06:52:39 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.24,3.24,7.15
75,chrome,windows,en-US,7,0,irlexp10_1,2022-03-09 14:53:26.380918,2022-03-09 14:53:32.153598,2022-03-09 15:04:52.890269,0.0,3,live,2213,methods_main,aoudad,0,0,7,1,Wed Mar 09 2022 08:53:25 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.37,3.37,11.433333333333334
76,chrome,windows,en-US,8,0,irlexp10_1,2022-03-09 16:11:06.333138,2022-03-09 16:12:21.787614,2022-03-09 16:21:15.088893,0.0,3,live,2324,methods_main,weasel,0,0,7,1,Wed Mar 09 2022 10:11:06 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.36,3.36,10.133333333333333
77,chrome,windows,en-US,8,0,irlexp10_1,2022-03-09 15:39:08.674220,2022-03-09 15:47:31.980237,2022-03-09 16:07:51.814545,0.0,3,live,2308,methods_main,weasel,0,0,7,1,Wed Mar 09 2022 09:39:34 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,,28.716666666666665
