,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,final_bonus,displayed_bonus,time_diff
120,chrome,macos,en-US,16,0,irlexp10_1,2022-03-09 15:18:30.067845,2022-03-09 15:21:40.743048,2022-03-09 15:38:59.048901,0.0,3,live,2297,methods_main,hedgehog,0,0,7,1,Wed Mar 09 2022 10:18:31 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.57,3.57,20.466666666666665
121,firefox,windows,en-US,16,0,irlexp10_1,2022-03-09 14:57:46.696694,2022-03-09 15:02:28.003168,2022-03-09 15:14:47.734339,0.0,3,live,2252,methods_main,hedgehog,0,0,7,1,Wed Mar 09 2022 09:57:47 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.58,3.58,17.016666666666666
123,chrome,windows,en-US,16,0,irlexp10_1,2022-03-09 14:56:28.233598,2022-03-09 14:58:14.124084,2022-03-09 15:09:53.544772,0.0,3,live,2254,methods_main,hedgehog,0,0,7,1,Wed Mar 09 2022 09:56:29 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.42,3.42,13.416666666666666
124,chrome,windows,en-US,17,0,irlexp10_1,2022-03-09 17:17:27.612332,2022-03-09 17:20:58.455101,2022-03-09 17:40:43.119322,0.0,3,live,2357,methods_main,bighorn,0,0,7,1,Wed Mar 09 2022 11:17:30 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.43,3.43,23.25
125,chrome,windows,en,17,0,irlexp10_1,2022-03-09 15:42:06.751869,2022-03-09 15:48:00.792111,2022-03-09 15:58:43.371195,0.0,3,live,2298,methods_main,bighorn,0,0,7,1,Wed Mar 09 2022 10:42:07 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,1.52,1.52,16.6
126,chrome,windows,en-US,17,0,irlexp10_1,2022-03-09 15:46:19.062897,2022-03-09 15:46:45.912642,2022-03-09 15:59:02.544250,0.0,3,live,2299,methods_main,bighorn,0,0,7,1,Wed Mar 09 2022 10:46:20 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,,12.716666666666667
127,firefox,windows,en-US,17,0,irlexp10_1,2022-03-09 14:54:14.817772,2022-03-09 14:56:08.860741,2022-03-09 15:11:39.952000,0.0,3,live,2256,methods_main,bighorn,0,0,7,1,Wed Mar 09 2022 08:54:13 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.24,3.24,17.416666666666668
128,chrome,macos,en-US,17,0,irlexp10_1,2022-03-09 14:52:43.108110,2022-03-09 14:54:32.919695,2022-03-09 15:04:40.471928,0.0,3,live,2218,methods_main,bighorn,0,0,7,1,Wed Mar 09 2022 09:52:45 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,,11.95
129,chrome,windows,en-US,18,0,irlexp10_1,2022-03-09 17:39:47.375995,2022-03-09 17:40:44.901215,2022-03-09 17:54:44.301478,0.0,3,live,2364,methods_main,chinchilla,0,0,7,1,Wed Mar 09 2022 12:39:52 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.35,3.35,14.933333333333334
130,chrome,chromeos,en-US,18,0,irlexp10_1,2022-03-09 17:28:33.218971,2022-03-09 17:28:41.706829,2022-03-09 17:41:10.478333,0.0,3,live,2358,methods_main,chinchilla,0,0,7,1,Wed Mar 09 2022 12:28:35 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.49,2.49,12.616666666666667
131,chrome,windows,en-US,18,0,irlexp10_1,2022-03-09 15:18:56.232705,2022-03-09 15:21:30.851529,2022-03-09 15:35:19.858102,0.0,3,live,2300,methods_main,chinchilla,0,0,7,1,Wed Mar 09 2022 09:18:58 GMT-0600 (Central Standard Time),0.002,2_4_24,312,0.96,0.96,16.383333333333333
132,chrome,windows,en-US,18,0,irlexp10_1,2022-03-09 15:02:55.789728,2022-03-09 15:03:01.421493,2022-03-09 15:16:45.029144,0.0,3,live,2257,methods_main,chinchilla,0,0,7,1,Wed Mar 09 2022 10:02:58 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.35,3.35,13.816666666666666
134,chrome,windows,en-US,18,0,irlexp10_1,2022-03-09 14:56:05.028508,2022-03-09 14:58:41.141683,2022-03-14 09:58:45.567450,0.0,3,live,2259,methods_main,chinchilla,0,0,7,1,Wed Mar 09 2022 09:56:06 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.66,2.66,2.6666666666666665
135,firefox,windows,en-US,19,0,irlexp10_1,2022-03-09 16:43:15.992966,2022-03-09 16:43:56.300217,2022-03-09 17:03:05.596100,0.0,3,live,2342,methods_main,porcupine,0,0,7,1,Wed Mar 09 2022 11:43:18 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.41,2.41,19.816666666666666
136,chrome,macos,en-US,19,0,irlexp10_1,2022-03-09 15:22:05.063631,2022-03-09 15:22:11.042808,2022-03-09 15:33:58.782474,0.0,3,live,2301,methods_main,porcupine,0,0,7,1,Wed Mar 09 2022 10:22:06 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.46,2.46,11.883333333333333
137,chrome,windows,en-US,19,0,irlexp10_1,2022-03-09 15:01:03.683684,2022-03-09 15:01:26.211302,2022-03-09 15:27:59.625049,0.0,3,live,2260,methods_main,porcupine,0,0,7,1,Wed Mar 09 2022 08:01:05 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,3.3,3.3,26.916666666666668
138,chrome,windows,en-US,19,0,irlexp10_1,2022-03-09 14:53:40.288915,2022-03-09 14:56:15.205379,2022-03-09 15:05:00.344087,0.0,3,live,2219,methods_main,porcupine,0,0,7,1,Wed Mar 09 2022 09:53:41 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,,11.333333333333334
139,chrome,windows,en-US,19,0,irlexp10_1,2022-03-09 14:55:51.465132,2022-03-09 14:55:57.994961,2022-03-09 15:05:38.522045,0.0,3,live,2220,methods_main,porcupine,0,0,7,1,Wed Mar 09 2022 09:55:53 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.04,3.04,9.783333333333333
141,chrome,windows,en-US,20,0,irlexp10_1,2022-03-09 15:49:03.878416,2022-03-09 15:52:01.381737,2022-03-09 16:09:44.782062,0.0,3,live,2312,methods_main,guanaco,0,0,7,1,Wed Mar 09 2022 07:49:05 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.3,3.3,20.666666666666668
142,chrome,windows,en-US,20,0,irlexp10_1,2022-03-09 15:38:13.965413,2022-03-09 15:40:12.351997,2022-03-09 15:49:27.826665,0.0,3,live,2302,methods_main,guanaco,0,0,7,1,Wed Mar 09 2022 09:38:14 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.37,3.37,11.216666666666667
143,chrome,windows,en-US,20,0,irlexp10_1,2022-03-09 14:53:22.506610,2022-03-09 14:58:52.306797,2022-03-09 15:14:21.859439,0.0,3,live,2262,methods_main,guanaco,0,0,7,1,Wed Mar 09 2022 09:53:25 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,20.983333333333334
144,safari,macos,en-us,20,0,irlexp10_1,2022-03-09 14:54:50.825168,2022-03-09 14:55:00.571029,2022-03-09 15:11:14.743039,0.0,3,live,2263,methods_main,guanaco,0,0,7,1,Wed Mar 09 2022 09:54:52 GMT-0500 (EST),0.002,2_4_24,312,3.41,3.41,16.383333333333333
145,chrome,windows,en-US,21,0,irlexp10_1,2022-03-09 16:34:38.507432,2022-03-09 16:34:45.725117,2022-03-09 16:47:41.402709,0.0,3,live,2338,methods_main,walrus,0,0,7,1,Wed Mar 09 2022 10:34:41 GMT-0600 (Central Standard Time),0.002,2_4_24,312,1.64,1.64,13.033333333333333
146,chrome,windows,en-US,21,0,irlexp10_1,2022-03-09 15:24:56.153048,2022-03-09 15:25:02.152307,2022-03-09 15:36:23.280894,0.0,3,live,2303,methods_main,walrus,0,0,7,1,Wed Mar 09 2022 10:24:58 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.17,2.17,11.45
147,chrome,windows,en-US,21,0,irlexp10_1,2022-03-09 15:18:02.380580,2022-03-09 15:21:06.908462,2022-03-09 15:31:14.659405,0.0,3,live,2304,methods_main,walrus,0,0,7,1,Wed Mar 09 2022 10:18:04 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.94,2.94,13.2
148,chrome,windows,en-US,21,0,irlexp10_1,2022-03-09 15:02:40.742666,2022-03-09 15:02:47.632754,2022-03-09 15:11:45.843787,0.0,3,live,1762,methods_main,walrus,0,0,7,1,Wed Mar 09 2022 10:02:42 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.65,3.65,9.083333333333334
151,chrome,macos,en-US,22,0,irlexp10_1,2022-03-09 15:09:31.738389,2022-03-09 15:13:52.526022,2022-03-09 15:23:05.078119,0.0,3,live,2280,methods_main,dromedary,0,0,7,1,Wed Mar 09 2022 10:09:28 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,0.19,0.19,13.55
152,chrome,windows,en-US,22,0,irlexp10_1,2022-03-09 14:55:43.762349,2022-03-09 15:13:28.230610,2022-03-09 15:26:34.645171,0.0,3,live,2268,methods_main,dromedary,0,0,7,1,Wed Mar 09 2022 09:55:47 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.33,3.33,30.833333333333332
153,chrome,windows,en-US,22,0,irlexp10_1,2022-03-09 14:59:39.502371,2022-03-09 14:59:45.377523,2022-03-09 15:13:04.138771,0.0,3,live,1723,methods_main,dromedary,0,0,7,1,Wed Mar 09 2022 09:59:40 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.14,3.14,13.4
154,firefox,windows,en-US,22,0,irlexp10_1,2022-03-09 14:53:00.282057,2022-03-09 14:57:54.410864,2022-03-09 15:12:53.482154,0.0,3,live,2265,methods_main,dromedary,0,0,7,1,Wed Mar 09 2022 08:53:03 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,,19.883333333333333
155,firefox,windows,en-US,23,0,irlexp10_1,2022-03-09 16:26:13.741786,2022-03-09 16:26:19.327192,2022-03-09 16:38:32.454125,0.0,3,live,2333,methods_main,aoudad,0,0,7,1,Wed Mar 09 2022 10:26:16 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.44,3.44,12.3
156,chrome,windows,en-US,23,0,irlexp10_1,2022-03-09 15:25:57.251016,2022-03-09 15:26:03.008170,2022-03-09 15:39:02.429502,0.0,3,live,2305,methods_main,aoudad,0,0,7,1,Wed Mar 09 2022 10:25:53 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.4,3.4,13.083333333333334
157,chrome,windows,en-US,23,0,irlexp10_1,2022-03-09 15:24:51.405644,2022-03-09 15:25:27.988627,2022-03-09 15:36:40.716171,0.0,3,live,2306,methods_main,aoudad,0,0,7,1,Wed Mar 09 2022 10:24:53 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.41,3.41,11.816666666666666
158,chrome,windows,en-US,23,0,irlexp10_1,2022-03-09 15:11:57.338565,2022-03-09 15:15:40.198249,2022-03-09 15:36:13.067395,0.0,3,live,2281,methods_main,aoudad,0,0,7,1,Wed Mar 09 2022 10:12:00 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,0.32,0.32,24.25
159,chrome,windows,en-US,23,0,irlexp10_1,2022-03-09 14:57:09.444881,2022-03-09 15:06:25.722579,2022-03-09 15:18:20.701184,0.0,3,live,2266,methods_main,aoudad,0,0,7,1,Wed Mar 09 2022 06:57:13 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,2.74,2.74,21.183333333333334
161,safari,macos,en-US,4,0,irlexp10_1,2022-03-09 14:56:57.392261,2022-03-09 14:57:04.418922,,0.0,2,live,2230,methods_main,guanaco,0,0,7,1,Wed Mar 09 2022 09:56:59 GMT-0500 (EST),0.002,2_4_24,312,,,
162,chrome,windows,en-GB,8,0,irlexp10_1,2022-03-09 15:01:48.456175,2022-03-09 15:02:22.756489,,0.0,2,live,2238,methods_main,weasel,0,0,7,1,Wed Mar 09 2022 18:02:08 GMT+0300 (East Africa Time),0.002,2_4_24,312,,,
164,safari,macos,en-US,15,0,irlexp10_1,2022-03-09 15:19:09.430411,2022-03-09 15:24:57.391108,,0.0,2,live,2311,methods_main,fieldmouse,0,0,7,1,Wed Mar 09 2022 10:19:11 GMT-0500 (EST),0.002,2_4_24,312,,,
172,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 20:09:24.608111,2022-03-09 20:10:37.518796,2022-03-09 20:26:17.158140,0.0,3,live,1731,methods_main_extension,hedgehog,0,0,7,1,Wed Mar 09 2022 14:09:28 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.44,3.44,16.866666666666667
174,chrome,windows,en-US,2,0,irlexp10_1,2022-03-10 03:08:43.673717,2022-03-10 03:08:48.772717,2022-03-10 03:18:56.597450,0.0,3,live,2372,methods_main_extension,chinchilla,0,0,7,1,Wed Mar 09 2022 22:08:45 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.29,3.29,10.2
175,chrome,windows,en-US,3,0,irlexp10_1,2022-03-09 21:42:23.965646,2022-03-09 21:42:32.634055,2022-03-09 21:54:05.015011,0.0,3,live,2373,methods_main_extension,porcupine,0,0,7,1,Wed Mar 09 2022 15:42:15 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.23,3.23,11.683333333333334
176,chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 19:01:19.200393,2022-03-09 19:05:21.919262,2022-03-09 19:14:52.585671,0.0,3,live,1737,methods_main_extension,dromedary,0,0,7,1,Wed Mar 09 2022 14:01:20 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.11,2.11,13.55
177,firefox,windows,en-US,9,0,irlexp10_1,2022-03-09 19:06:55.023106,2022-03-09 19:24:00.697113,2022-03-09 19:50:57.411063,0.0,3,live,2368,methods_main_extension,rooster,0,0,7,1,Wed Mar 09 2022 13:06:58 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.39,3.39,44.03333333333333
178,chrome,windows,en-US,11,0,irlexp10_1,2022-03-09 19:35:14.300043,2022-03-09 19:36:15.098443,2022-03-09 19:47:02.475687,0.0,3,live,2370,methods_main_extension,iguana,0,0,7,1,Wed Mar 09 2022 13:35:15 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.39,3.39,11.8
179,chrome,windows,en-US,17,0,irlexp10_1,2022-03-09 20:37:40.474365,2022-03-09 20:39:25.023001,2022-03-09 20:51:12.911313,0.0,3,live,1754,methods_main_extension,bighorn,0,0,7,1,Wed Mar 09 2022 15:37:42 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.9,2.9,13.533333333333333
180,chrome,windows,en-US,19,0,irlexp10_1,2022-03-09 19:03:46.800682,2022-03-09 19:04:03.028770,2022-03-09 19:15:43.738416,0.0,3,live,2367,methods_main_extension,porcupine,0,0,7,1,Wed Mar 09 2022 14:03:48 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,,11.933333333333334
181,chrome,windows,en-US,22,0,irlexp10_1,2022-03-09 23:01:41.659225,2022-03-09 23:01:53.485982,2022-03-09 23:11:23.565114,0.0,3,live,2374,methods_main_extension,dromedary,0,0,7,1,Wed Mar 09 2022 18:01:43 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.25,3.25,9.683333333333334
