pid,trial_index,action_time,actions,block,path,queries,reward,rt,condition,bonus,score,simulation_mode,state_rewards,time_elapsed,trialTime,trial_type
26,7,"[2772, 5468, 7383]","['left', 'left', 'up']",training,"['0', '9', '10', '11']","{'click': {'state': {'target': ['9'], 'time': [1745]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '9'], 'time': [None, 1677]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1'], 'time': [1411]}, 'edge': {'target': [], 'time': []}}}","[48, -4, -2]","[772.7249999879859, 4478.8900000130525, 400.24499999708496]",1,[],41,"[None, None, None]","['', 24, 4, -2, -4, -48, 4, -2, -2, 48, -4, -2, -2]",147622,[],mouselab-mdp
26,8,"[3038, 4630, 7484]","['right', 'right', 'up']",training,"['0', '5', '6', '7']","{'click': {'state': {'target': ['9', '5'], 'time': [1277, 2374]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '0', '5'], 'time': [None, 1758, 2059]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '0', '5'], 'time': [1708, 1775, 5940]}, 'edge': {'target': [], 'time': []}}}","[48, -8, -2]","[665.9550000040326, 2769.5699999894714, 2188.4900000004563]",1,[],36,"[None, None, None]","['', 24, -8, 2, 4, 48, -8, -2, -2, -24, -4, 2, 4]",156780,[],mouselab-mdp
26,9,"[1670, 2741, 3618]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['7'], 'time': [None]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}","[-48, 8, 4]","[1419.7750000021188, 3032.500000001164, 1085.8900000021094]",1,[],-36,"[None, None, None]","['', -48, 8, 4, 2, 24, 8, -2, -4, -24, 4, 4, 2]",163896,[],mouselab-mdp
26,10,"[852, 1991, 2782]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['7'], 'time': [None]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}","[-24, 4, -2]","[2356.034999989788, 1667.0350000058534, 570.5099999904633]",1,[],-22,"[None, None, None]","['', -48, 4, -4, 2, 24, 8, 4, -4, -24, 4, 4, -2]",173319,[],mouselab-mdp
26,11,"[512, 1860, 2907]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['7'], 'time': [None]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}","[24, -4, 4]","[380.78500000119675, 843.8650000025518, 632.7300000120886]",1,[],24,"[None, None, None]","['', 24, 4, -4, -4, 24, -4, -2, 4, 24, -8, -4, 2]",183155,[],mouselab-mdp
26,12,"[3020, 4120, 5151]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': ['5'], 'time': [1812]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['7', '3', '5'], 'time': [None, 1321, 1668]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['7', '3'], 'time': [903, 1352]}, 'edge': {'target': [], 'time': []}}}","[-48, 8, -2]","[291.71999999380205, 508.495000001858, 848.8749999960419]",1,[],-43,"[None, None, None]","['', -48, 8, -2, 4, -24, -4, 2, -2, 24, -4, -4, 4]",192650,[],mouselab-mdp
26,13,"[3762, 4528, 5519]","['up', 'up', 'left']",training,"['0', '1', '2', '4']","{'click': {'state': {'target': ['9', '1', '5'], 'time': [1045, 1878, 2487]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '0', '0', '9', '1', '1', '5'], 'time': [None, 689, 822, 922, 1489, 1789, 2324]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '0', '0', '9', '1', '1'], 'time': [657, 706, 873, 1455, 1540, 2238]}, 'edge': {'target': [], 'time': []}}}","[24, 4, -4]","[545.4200000094716, 3016.1950000037905, 599.2050000058953]",1,[],21,"[None, None, None]","['', 24, 4, -2, -4, -24, 8, -2, -4, -24, 4, 4, -4]",198042,[],mouselab-mdp
26,14,"[3381, 4209, 4886]","['left', 'left', 'up']",training,"['0', '9', '10', '11']","{'click': {'state': {'target': ['5', '1', '9'], 'time': [1351, 2251, 2940]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '5', '1', '9'], 'time': [None, 1253, 1921, 2820]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '5', '1'], 'time': [886, 1804, 2754]}, 'edge': {'target': [], 'time': []}}}","[24, 8, -2]","[528.3349999954225, 3759.235000004992, 270.59499999450054]",1,[],27,"[None, None, None]","['', -48, -4, -2, 4, -24, -4, 4, 4, 24, 8, -2, 4]",202316,[],mouselab-mdp
26,15,"[4554, 5445, 7094]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': ['9', '5', '1'], 'time': [1579, 2800, 3626]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '0', '9', '0', '5', '1'], 'time': [None, 1325, 1474, 2093, 2125, 3491]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '0', '9', '0', '5'], 'time': [1177, 1425, 2091, 2108, 3457]}, 'edge': {'target': [], 'time': []}}}","[48, 4, -4]","[493.9499999891268, 3378.7350000056904, 336.16999999503605]",1,[],45,"[None, None, None]","['', 48, 4, -4, -4, -24, -8, 2, 2, 24, -4, 4, -2]",207247,[],mouselab-mdp
26,16,"[3169, 4710, 5857]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['1', '5', '9'], 'time': [936, 1735, 2501]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '5', '0', '9'], 'time': [None, 1544, 2230, 2281]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '5', '0'], 'time': [1513, 2212, 2262]}, 'edge': {'target': [], 'time': []}}}","[24, 4, 4]","[178.44000000332016, 4547.885000007227, 384.7749999986263]",1,[],29,"[None, None, None]","['', -24, 4, 2, -2, -24, -8, -4, 4, 24, 4, 2, 4]",214191,[],mouselab-mdp
