browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid
chrome,macos,en-US,1,0,irlexp10_1,2022-03-09 14:53:15.011534,2022-03-09 14:53:24.361679,2022-03-09 15:07:33.382630,0.0,3,live,2224
chrome,windows,en-US,2,0,irlexp10_1,2022-03-09 18:09:01.535175,2022-03-09 18:13:33.273102,2022-03-09 18:24:22.690801,0.0,3,live,2360
chrome,windows,en-US,2,0,irlexp10_1,2022-03-09 17:04:34.893086,2022-03-09 17:07:08.165751,2022-03-09 17:20:17.045974,0.0,3,live,2348
chrome,windows,en-US,2,0,irlexp10_1,2022-03-09 15:16:53.554517,2022-03-09 15:19:12.526765,2022-03-09 15:33:44.731925,0.0,3,live,2273
chrome,windows,en-US,2,0,irlexp10_1,2022-03-09 15:01:11.767101,2022-03-09 15:07:46.589509,2022-03-09 15:19:31.494328,0.0,3,live,2225
chrome,windows,en-US,2,0,irlexp10_1,2022-03-09 14:55:35.220289,2022-03-09 14:55:45.980002,2022-03-09 15:08:02.742463,0.0,3,live,2226
chrome,windows,en-US,3,0,irlexp10_1,2022-03-09 16:35:00.670239,2022-03-09 16:37:20.084355,2022-03-09 16:52:14.436434,0.0,3,live,2340
chrome,windows,en-US,3,0,irlexp10_1,2022-03-09 15:57:52.579320,2022-03-09 16:02:05.514843,2022-03-09 16:04:01.331614,0.0,3,live,2307
chrome,chromeos,en-US,3,0,irlexp10_1,2022-03-09 15:01:09.620889,2022-03-09 15:01:17.606225,2022-03-09 15:20:24.535118,0.0,3,live,2227
chrome,windows,en-US,3,0,irlexp10_1,2022-03-09 14:54:38.585510,2022-03-09 14:56:42.733723,2022-03-09 15:10:55.101689,0.0,3,live,2228
chrome,windows,en-US,3,0,irlexp10_1,2022-03-09 14:53:20.477175,2022-03-09 14:53:26.445695,2022-03-09 15:02:50.117082,0.0,3,live,2211
chrome,windows,en-US,4,0,irlexp10_1,2022-03-09 17:20:32.802804,2022-03-09 17:23:26.180021,2022-03-09 17:42:02.219011,0.0,3,live,2354
chrome,windows,en-US,4,0,irlexp10_1,2022-03-09 15:45:37.767304,2022-03-09 15:47:54.608946,2022-03-09 15:59:05.067960,0.0,3,live,2286
chrome,windows,en-US,4,0,irlexp10_1,2022-03-09 15:29:53.165246,2022-03-09 15:31:52.526181,2022-03-09 15:41:46.305494,0.0,3,live,2287
chrome,windows,en-US,4,0,irlexp10_1,2022-03-09 14:55:37.012474,2022-03-09 15:00:10.377216,2022-03-09 15:10:09.613118,0.0,3,live,2229
chrome,windows,en-US,4,0,irlexp10_1,2022-03-09 14:52:39.130456,2022-03-09 14:52:49.348148,2022-03-09 15:04:57.355153,0.0,3,live,2212
firefox,windows,en-US,5,0,irlexp10_1,2022-03-09 16:10:39.014373,2022-03-09 16:10:44.737402,2022-03-09 16:20:42.317204,0.0,3,live,2322
chrome,windows,en-US,5,0,irlexp10_1,2022-03-09 15:10:03.868485,2022-03-09 15:11:46.967583,2022-03-09 15:22:36.410873,0.0,3,live,2275
chrome,windows,en-US,5,0,irlexp10_1,2022-03-09 15:05:46.787780,2022-03-09 15:05:53.456574,2022-03-09 15:14:35.732954,0.0,3,live,2231
chrome,windows,en-US,5,0,irlexp10_1,2022-03-09 14:52:37.827922,2022-03-09 15:01:33.428935,2022-03-09 15:12:18.536433,0.0,3,live,2232
chrome,windows,en-US,5,0,irlexp10_1,2022-03-09 14:56:12.454203,2022-03-09 14:58:05.022471,2022-03-09 15:08:55.199979,0.0,3,live,2233
