pid,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,final_bonus,displayed_bonus
2227,porcupine,0,0,7,1,Wed Mar 09 2022 07:01:11 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,1.71,1.71
2228,porcupine,0,0,7,1,Wed Mar 09 2022 09:54:47 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.38,3.38
2211,porcupine,0,0,7,1,Wed Mar 09 2022 09:53:21 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.52,3.52
2354,guanaco,0,0,7,1,Wed Mar 09 2022 10:20:36 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,3.21,3.21
2286,guanaco,0,0,7,1,Wed Mar 09 2022 09:45:40 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.56,3.56
2287,guanaco,0,0,7,1,Wed Mar 09 2022 07:29:56 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,1.25,1.25
2229,guanaco,0,0,7,1,Wed Mar 09 2022 09:55:36 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.32,3.32
2212,guanaco,0,0,7,1,Wed Mar 09 2022 09:52:47 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.37,3.37
2322,walrus,0,0,7,1,Wed Mar 09 2022 08:10:42 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.41,3.41
2275,walrus,0,0,7,1,Wed Mar 09 2022 09:10:05 GMT-0600 (Central Standard Time),0.002,2_4_24,312,2.97,2.97
2231,walrus,0,0,7,1,Wed Mar 09 2022 09:05:50 GMT-0600 (Central Standard Time),0.002,2_4_24,312,2.35,2.35
2232,walrus,0,0,7,1,Wed Mar 09 2022 08:52:39 GMT-0600 (Central Standard Time),0.002,2_4_24,312,1.34,1.34
2233,walrus,0,0,7,1,Wed Mar 09 2022 09:56:15 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,1.61,1.61
2366,dromedary,0,0,7,1,Wed Mar 09 2022 10:59:25 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.47,3.47
2276,dromedary,0,0,7,1,Wed Mar 09 2022 10:12:51 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.42,3.42
195,dromedary,0,0,7,1,Wed Mar 09 2022 07:52:51 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,0.1,0
2234,dromedary,0,0,7,1,Wed Mar 09 2022 08:56:53 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.55,3.55
2235,dromedary,0,0,7,1,Wed Mar 09 2022 08:54:58 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.16,3.16
2361,aoudad,0,0,7,1,Wed Mar 09 2022 10:45:08 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,,
2323,aoudad,0,0,7,1,Wed Mar 09 2022 10:13:00 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.44,3.44
2277,aoudad,0,0,7,1,Wed Mar 09 2022 10:14:57 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.16,3.16
