"","AD","CIT","SW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
"OCI_3",-0.0140226662618265,0.0339429930754937,0.011561874211813
"OCI_4",-0.0073719633832808,0.0306000855435977,0.000663217139404237
"OCI_5",-0.010814922092911,0.0301509960899824,0.00697626487841296
"OCI_6",0.00677341236533195,0.0398361448793182,0.00309955839556764
"OCI_7",0.000918216199904074,0.0252808109702991,-0.00310417543952694
"OCI_8",-0.0116175019112523,0.0383757659064813,0.00265827225631681
"OCI_9",-0.00946548042265024,0.0290217952042674,0.0125645112593319
"OCI_10",-0.00943398842326195,0.037291409790515,-0.00302504282267469
"OCI_11",-0.0103742854942442,0.039246103997516,0.00110836168996629
"OCI_12",0.00252461315312748,0.0453632483519851,0.000809871972926878
"OCI_13",-0.00314290154110744,0.0236894738851502,0.00425534843850133
"OCI_14",-0.0120527295660019,0.0359614542996383,0.00264496618346462
"OCI_15",-0.0155476891866105,0.0332597294784761,0.0108465112346326
"OCI_16",-0.00916490250733221,0.0338543102908233,-0.00208478680959905
"OCI_17",-0.0104158779284661,0.0331235866534811,0.00209605120682672
"OCI_18",0.0055434508488451,0.0450435302313488,-0.00215425816537861
"EAT_1",-0.003809791226199,0.0280204518463981,0.0043196254040171
"EAT_2",-0.00157810956732577,0.0259141202531608,-0.00272426816436561
"EAT_3",-0.00215832209898847,0.0298090415886843,0.00468975393034228
"EAT_4",-0.000677099000794896,0.0347646354599195,-0.000673298400123444
"EAT_5",-0.00530566962467248,0.0115290004354874,-6.10145904139588e-05
"EAT_6",-0.00827549451615113,0.0126276192940234,0.00111832123753939
"EAT_7",-0.00964566910513834,0.0193297637701332,1.12106790908103e-06
"EAT_8",-0.00576024127943955,0.0193773527254773,7.61269339783899e-05
"EAT_9",-0.00283992608983132,0.0289288655465402,-0.0075380179411198
"EAT_10",-0.00104064473022369,0.0334098458611702,0.0043511530708598
"EAT_11",-0.00427711934362197,0.033033591773549,0.00532113846325232
"EAT_12",-0.00654725668295481,0.0233106423462826,0.00187680406398668
"EAT_13",-0.00372292123594603,0.0123039275837594,0.000355764545204658
"EAT_14",-0.00501222319262435,0.0357259418395488,0.00503813269988615
"EAT_15",-0.00318763120474671,0.0129217921706304,0.00227715816383492
"EAT_16",-0.00834177438989628,0.0146286155882257,3.20972560486399e-05
"EAT_17",-0.00588171323377879,0.0185709466575268,-0.000654337225751646
"EAT_18",-0.0026577857489879,0.0290116330739678,0.00640530771651231
"EAT_19",-0.00855172162245947,-0.00136390494996827,0.00252709021925518
"EAT_20",-0.0045465248493941,0.0231437906014012,0.00110825596218285
