Anxiety/depression,Compulsivity,Social withdrawal,item
0.0,0.0,0.0,zung.1
0.0,-0.0,-0.0,zung.2
0.0,0.0,0.0,zung.3
0.0,0.0,0.0,zung.4
0.0,0.0,0.0,zung.5
0.0,0.0,0.0,zung.6
-0.0,0.0,0.0,zung.7
0.0,0.0,0.0,zung.8
0.0,0.0,0.0,zung.9
0.0,0.0,0.0,zung.10
0.029466679593035346,0.0,0.0,zung.11
0.01985054366173535,0.0,0.0,zung.12
0.0,0.09267070978504252,0.0,zung.13
0.028596478225996255,-0.0,0.0,zung.14
0.0,0.0,0.0,zung.15
0.010707185464155776,0.0,0.0,zung.16
0.12036795372561847,0.0,0.0,zung.17
0.03530251799452055,-0.0,0.0,zung.18
0.0,0.0,0.0,zung.19
0.06368607903191434,0.0,0.0,zung.20
0.012380713424077684,0.0,0.0,anxiety.1
0.0,0.0,0.0,anxiety.2
0.11436540315364466,0.0,0.0,anxiety.3
0.0,0.0,0.0,anxiety.4
0.02279775238032316,0.0,0.0,anxiety.5
0.0,0.0,0.0,anxiety.6
0.0,0.0,0.0,anxiety.7
0.01699620449031509,0.0,0.0,anxiety.8
0.0,0.014084950806784001,0.0,anxiety.9
0.10351897992861057,0.0,0.0,anxiety.10
0.0,0.0,0.0,anxiety.11
0.01969627014300521,0.0,0.02270302019374949,anxiety.12
0.010115186611981663,0.0,0.0,anxiety.13
0.0,0.0,0.0,anxiety.14
0.0,0.0,0.0,anxiety.15
0.034258794108838114,0.0,0.0,anxiety.16
0.0,0.0,0.0,anxiety.17
0.0,0.0,0.0,anxiety.18
0.05062609905439814,0.0,0.0,anxiety.19
0.0,0.015650786247435433,0.0,anxiety.20
0.0,0.024150112171360597,0.0,ocir.1
0.0,0.03547429778856173,0.0,ocir.2
-0.0,0.0,0.0,ocir.3
-0.0,0.06211458337627256,0.0,ocir.4
-0.0,0.0,0.0,ocir.5
0.0,0.14817429985877026,0.0,ocir.6
0.0,0.020488923754619196,0.0,ocir.7
-0.0,0.0,0.0,ocir.8
-0.0,0.046950577561052705,0.018567343012583254,ocir.9
-0.0,0.0,0.0,ocir.10
-0.0,0.024720813604130136,0.0,ocir.11
0.0,0.13635069754489926,0.0,ocir.12
0.0,0.007470068843710111,0.0,ocir.13
-0.0,0.0,0.0,ocir.14
-0.0,0.0,0.0,ocir.15
-0.0,0.02537178575732298,0.0,ocir.16
-0.0,0.0,0.0,ocir.17
0.0,0.08010984577678783,0.0,ocir.18
0.0,0.0,0.0,leb.1
0.0,0.0,0.017431987934272104,leb.2
0.0,0.0,0.0,leb.3
0.0,0.0,0.0,leb.4
0.0,0.0,0.0,leb.5
0.0,0.0,0.0,leb.6
0.0,-0.0,0.15024068406003174,leb.7
0.0,0.0,0.007141747977929373,leb.8
0.0,0.0,0.0,leb.9
0.0,0.0,0.011800291648477297,leb.10
0.0,0.0,0.13154558538749833,leb.11
0.0,0.0,0.1309028854109369,leb.12
-0.0,0.0,0.0,leb.13
