Anxiety/depression,Compulsivity,Social withdrawal,item
0.0,0.0,0.0,zung.1
0.0,0.0,0.0,zung.2
0.0,0.0,0.0,zung.3
0.0,0.0,0.0,zung.4
0.0,0.0,0.0,zung.5
0.0,0.0,0.0,zung.6
0.0,0.0,0.0,zung.7
0.0,0.0,0.0,zung.8
0.0,0.0,0.0,zung.9
0.0,0.0,0.0,zung.10
0.029466344065087732,0.0,0.0,zung.11
0.019848235497069988,0.0,0.0,zung.12
0.0,0.09268299095969262,0.0,zung.13
0.028594380439211756,-0.0,0.0,zung.14
0.0,0.0,0.0,zung.15
0.010706016277819837,0.0,0.0,zung.16
0.12036805038540337,0.0,0.0,zung.17
0.03530327751747703,-0.0,0.0,zung.18
0.0,0.0,0.0,zung.19
0.06368833048954436,0.0,0.0,zung.20
0.012384932595708576,0.0,0.0,anxiety.1
0.0,0.0,0.0,anxiety.2
0.11437140780746326,0.0,0.0,anxiety.3
0.0,0.0,0.0,anxiety.4
0.02280129991776172,0.0,0.0,anxiety.5
0.0,0.0,0.0,anxiety.6
0.0,0.0,0.0,anxiety.7
0.016998191103228824,0.0,0.0,anxiety.8
0.0,0.014100013892225578,0.0,anxiety.9
0.103516116800307,0.0,0.0,anxiety.10
0.0,0.0,0.0,anxiety.11
0.01969469480390723,0.0,0.05694086211990278,anxiety.12
0.010112507991236834,0.0,0.0,anxiety.13
0.0,0.0,0.0,anxiety.14
0.0,0.0,0.0,anxiety.15
0.03425591397359984,0.0,0.0,anxiety.16
0.0,0.0,0.0,anxiety.17
0.0,0.0,0.0,anxiety.18
0.05062552417260361,0.0,0.0,anxiety.19
0.0,0.015658989322570302,0.0,anxiety.20
0.0,0.024160132750137314,0.0,ocir.1
0.0,0.035484155052748566,0.0,ocir.2
0.0,0.0,0.0,ocir.3
-0.0,0.06212349776914903,-0.0,ocir.4
0.0,0.0,0.0,ocir.5
0.0,0.14817316635340497,0.0,ocir.6
0.0,0.020476615012044275,0.0,ocir.7
0.0,0.0,0.0,ocir.8
-0.0,0.04694385734633376,0.029729592641050195,ocir.9
0.0,0.0,0.0,ocir.10
-0.0,0.02470994904639938,0.0,ocir.11
0.0,0.1363291023938005,0.0,ocir.12
0.0,0.007463968284392384,0.0,ocir.13
0.0,0.0,0.0,ocir.14
0.0,0.0,0.0,ocir.15
-0.0,0.025363551197772127,0.0,ocir.16
0.0,0.0,0.0,ocir.17
0.0,0.0801131648552971,0.0,ocir.18
0.0,0.0,0.0,leb.1
0.0,0.0,0.2126684625004506,leb.2
0.0,0.0,0.0,leb.3
0.0,0.0,0.0,leb.4
0.0,0.0,0.0,leb.5
0.0,0.0,0.0,leb.6
0.0,0.0,0.0,leb.7
0.0,0.0,0.0,leb.8
0.0,0.0,0.0,leb.9
0.0,0.0,0.0,leb.10
0.0,0.0,0.0,leb.11
0.0,0.0,0.0,leb.12
-0.0,0.0,0.0,leb.13
0.0,0.0,0.1385786595791643,leb.14
0.0,-0.0,0.3127684978253899,leb.15
