,success,trial_type,time_elapsed,internal_node_id,view_history,rt,questions,responses,correct,name,reverse_coded,question_id,revealed_states,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,pid,button_pressed,run,stimulus,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff,num_nodes,num_early,num_middle,num_late,num_clicks
40,,mouselab-mdp,2968179.0,0.0-19.0-1.0-10.0,,"[20861, 1729, 963]",,,,,,,[],"['', 4, -8, 48, 24, -2, -4, 24, -24, 4, -4, 48, 48]",-8930756420240891119,training,10.0,36.0,"[None, None, None]","[4, -4, 48]","['9', '10', '11']","['left', 'left', 'up']","[25200, 27526, 29038]","{'click': {'state': {'target': ['11', '7', '10', '12', '9', '5', '6', '8', '1', '2', '4', '3'], 'time': [6232, 7637, 9604, 11538, 13566, 15800, 16301, 17003, 18323, 19139, 20801, 21797]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",29.7,32156.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
41,,mouselab-mdp,2995918.0,0.0-19.0-1.0-11.0,,"[17228, 839, 785]",,,,,,,[],"['', -4, -4, 48, -48, -2, -8, 48, 48, -4, -4, -48, 48]",7160689332333860190,training,11.0,26.0,"[None, None, None]","[-2, -8, 48]","['5', '6', '7']","['right', 'right', 'up']","[21012, 22425, 23768]","{'click': {'state': {'target': ['9', '10', '11', '12', '7', '6', '8', '5', '1', '3', '2', '4'], 'time': [6890, 8522, 9126, 10504, 11621, 12574, 13378, 14366, 15253, 16220, 16992, 18012]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",24.29,26678.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
42,,mouselab-mdp,3023828.0,0.0-19.0-1.0-12.0,,"[16376, 819, 660]",,,,,,,[],"['', -4, 8, 24, 24, -2, -8, -48, -24, -4, -8, 24, 24]",5782292848891634944,training,12.0,16.0,"[None, None, None]","[-4, 8, 24]","['1', '2', '3']","['up', 'up', 'right']","[18819, 20192, 21415]","{'click': {'state': {'target': ['5', '6', '7', '8', '1', '3', '2', '4', '11', '10', '12', '9'], 'time': [4374, 5163, 6168, 6818, 8169, 9020, 9747, 11165, 12617, 13297, 14171, 15474]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",22.0,26794.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
43,,mouselab-mdp,3050018.0,0.0-19.0-1.0-13.0,,"[15398, 1621, 791]",,,,,,,[],"['', -2, 4, 24, 24, 4, 8, -48, 24, -2, 8, -48, -24]",-9084254621569370087,training,13.0,15.0,"[None, None, None]","[-2, 4, 24]","['1', '2', '3']","['up', 'up', 'right']","[18385, 20548, 21933]","{'click': {'state': {'target': ['10', '9', '11', '12', '7', '6', '8', '1', '3', '2', '4'], 'time': [6085, 7161, 8158, 8889, 10764, 11504, 12283, 13410, 14243, 15050, 15992]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",22.49,25098.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,11,2,3,6,11
44,,mouselab-mdp,3078354.0,0.0-19.0-1.0-14.0,,"[14422, 6019, 652]",,,,,,,[],"['', -2, 4, 48, -48, 4, -8, 48, 24, -2, -8, 24, 48]",-4507891731722671583,training,14.0,32.0,"[None, None, None]","[4, -8, 48]","['5', '6', '7']","['right', 'right', 'up']","[16114, 22745, 23959]","{'click': {'state': {'target': ['1', '7', '6', '8', '5', '10', '11', '12', '9', '4', '2', '3'], 'time': [2824, 3716, 3998, 4818, 5619, 6367, 7082, 7684, 8742, 12061, 12738, 13335]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",24.52,27030.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
45,,mouselab-mdp,3100730.0,0.0-19.0-1.0-15.0,,"[11792, 2354, 616]",,,,,,,[],"['', 2, -4, -48, -24, -2, -4, 48, -24, 4, 4, 48, -24]",7520829653297501648,training,15.0,44.0,"[None, None, None]","[4, 4, 48]","['9', '10', '11']","['left', 'left', 'up']","[13669, 16586, 17753]","{'click': {'state': {'target': ['1', '7', '6', '8', '5', '3', '2', '4', '11', '10', '12', '9'], 'time': [3056, 3844, 4542, 5318, 6461, 7587, 8296, 8863, 9596, 10355, 11376, 12262]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",18.41,21300.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
46,,mouselab-mdp,3114858.0,0.0-19.0-1.0-16.0,,"[6107, 40, 829]",,,,,,,[],"['', -2, 8, 24, 48, 2, -4, 48, -48, 2, 8, 24, -48]",4460497769895528113,training,16.0,50.0,"[None, None, None]","[-2, 8, 48]","['1', '2', '4']","['up', 'up', 'left']","[7891, 8443, 9837]","{'click': {'state': {'target': ['2', '3', '4', '1'], 'time': [3149, 3494, 4304, 5593]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",10.4,13038.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,4,1,1,2,4
47,,mouselab-mdp,3152725.0,0.0-19.0-1.0-17.0,,"[27750, 2231, 880]",,,,,,,[],"['', -2, -4, 48, -24, 4, -8, 48, -48, 2, -8, 24, -48]",-8867212192286323683,training,17.0,30.0,"[None, None, None]","[-2, -4, 48]","['1', '2', '3']","['up', 'up', 'right']","[29173, 32193, 33682]","{'click': {'state': {'target': ['2', '6', '7', '8', '5', '10', '11', '12', '9', '3', '4', '1'], 'time': [2599, 3707, 4498, 5514, 7054, 8061, 8870, 9675, 10718, 11530, 12363, 13218]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",34.26,36769.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
48,,mouselab-mdp,3173072.0,0.0-19.0-1.0-18.0,,"[11664, 1369, 690]",,,,,,,[],"['', 2, 4, 24, 48, 2, -4, -24, -48, -2, -8, 48, -48]",-7082365920985033127,training,18.0,46.0,"[None, None, None]","[2, 4, 48]","['1', '2', '4']","['up', 'up', 'left']","[13246, 15137, 16366]","{'click': {'state': {'target': ['1', '7', '6', '8', '5', '2', '4', '3'], 'time': [2740, 3986, 4719, 5527, 7087, 8227, 8964, 9693]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",16.84,19280.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,8,2,2,4,8
49,,mouselab-mdp,3201407.0,0.0-19.0-1.0-19.0,,"[15012, 2334, 934]",,,,,,,[],"['', -2, 4, -24, 24, -4, 8, -24, -48, -4, -8, 24, 24]",3023589674777612464,training,19.0,0.0,"[None, None, None]","[-4, -8, 24]","['9', '10', '11']","['left', 'left', 'up']","[16697, 19706, 21253]","{'click': {'state': {'target': ['4', '2', '3', '1', '5', '9', '11', '10', '12', '7', '6', '8'], 'time': [3193, 3885, 4574, 5547, 6561, 7332, 8046, 8614, 9294, 11350, 11747, 12508]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",21.8,27046.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
