,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff
44,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1615,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.65,3.65,bighorn,35.15
45,chrome,linux,UNKNOWN,2,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1616,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.86,3.86,chinchilla,44.46666666666667
46,chrome,windows,UNKNOWN,2,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1617,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.12,3.12,chinchilla,36.8
50,chrome,windows,UNKNOWN,2,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1621,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.0,4.0,chinchilla,40.016666666666666
51,chrome,chromeos,UNKNOWN,3,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1622,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.87,2.87,porcupine,24.583333333333332
52,chrome,windows,UNKNOWN,3,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1623,QuestPilot2,0,1,7,1,2020-10-24,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.18,4.18,porcupine,33.5
53,firefox,windows,UNKNOWN,3,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1624,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.86,3.86,porcupine,55.0
55,chrome,chromeos,UNKNOWN,4,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1626,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.32,4.32,guanaco,44.18333333333333
57,chrome,windows,UNKNOWN,4,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1628,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.06,4.06,guanaco,23.066666666666666
60,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-10-24,2020-10-24,2020-10-24,0.0,3,debug,1631,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.5,3.5,walrus,7.066666666666666
61,chrome,macos,UNKNOWN,5,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-24,0.0,3,debug,1632,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.73,3.73,walrus,54.03333333333333
62,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1633,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.11,4.11,walrus,5.083333333333333
63,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1634,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.71,3.71,walrus,57.56666666666667
64,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1635,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,walrus,4.05
65,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1636,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.28,3.28,dromedary,52.15
66,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1637,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.52,3.52,dromedary,50.583333333333336
67,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1638,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.68,3.68,dromedary,47.71666666666667
68,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1639,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.93,3.93,dromedary,35.93333333333333
69,safari,macos,UNKNOWN,7,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1641,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.6799999999999999,1.68,aoudad,27.95
71,chrome,windows,UNKNOWN,7,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1643,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.99,3.99,aoudad,1.2
72,firefox,windows,UNKNOWN,7,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1644,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,aoudad,54.38333333333333
