,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff
171,chrome,windows,UNKNOWN,7,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-03,0.0,3,debug,1211,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.18,3.18,aoudad,54.733333333333334
172,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1212,QuestPilot3,0,1,7,1,2020-11-03,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.14,4.14,weasel,30.35
173,firefox,windows,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1213,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,weasel,30.4
174,chrome,macos,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1214,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.23,4.23,weasel,40.18333333333333
175,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1215,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.3,4.3,weasel,33.45
176,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1216,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.99,3.99,weasel,40.016666666666666
177,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1217,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.2,3.2,weasel,47.733333333333334
179,chrome,chromeos,UNKNOWN,9,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1219,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.17,4.17,rooster,43.38333333333333
181,chrome,windows,UNKNOWN,9,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1221,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.91,3.91,rooster,43.85
182,firefox,windows,UNKNOWN,9,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1222,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.58,3.58,rooster,48.21666666666667
