,pid,run,mouselab-quiz-post_Q0,mouselab-quiz-post_Q1,mouselab-quiz-post_Q2,mouselab-quiz-post_Q3,mouselab-quiz-post_Q4,mouselab-quiz-pre_Q0,mouselab-quiz-pre_Q1,mouselab-quiz-pre_Q2,mouselab-quiz-pre_Q3,passed_quizzes,age,colorblind,effort,gender,female,male,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff
72,1610,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,31,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-10-24,2020-10-24,2020-10-24,0.0,3,debug,0,1,7,1,2020-10-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.84,3.84,bighorn,40.483333333333334
73,1611,QuestPilot2,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,22,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.67,1.67,bighorn,50.983333333333334
74,1612,QuestPilot2,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,24,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.09,4.09,bighorn,29.716666666666665
75,1613,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,22,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.84,3.84,bighorn,34.416666666666664
76,1614,QuestPilot2,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1,33,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.14,4.14,bighorn,25.2
77,1615,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,26,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.65,3.65,bighorn,35.15
78,1616,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,chrome,linux,UNKNOWN,2,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.86,3.86,chinchilla,44.46666666666667
79,1617,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,27,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,2,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.12,3.12,chinchilla,36.8
83,1621,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,25,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.0,4.0,chinchilla,40.016666666666666
84,1622,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,20,0,1,male,0.0,1.0,chrome,chromeos,UNKNOWN,3,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.87,2.87,porcupine,24.583333333333332
85,1623,QuestPilot2,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1,65,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-24,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.18,4.18,porcupine,33.5
86,1624,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,35,0,0,male,0.0,1.0,firefox,windows,UNKNOWN,3,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.86,3.86,porcupine,55.0
88,1626,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,26,0,0,male,0.0,1.0,chrome,chromeos,UNKNOWN,4,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.32,4.32,guanaco,44.18333333333333
90,1628,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,4,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.06,4.06,guanaco,23.066666666666666
93,1631,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,41,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-10-24,2020-10-24,2020-10-24,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.5,3.5,walrus,7.066666666666666
94,1632,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,male,0.0,1.0,chrome,macos,UNKNOWN,5,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-24,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.73,3.73,walrus,54.03333333333333
95,1633,QuestPilot2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,24,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.11,4.11,walrus,5.083333333333333
96,1634,QuestPilot2,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1,63,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.71,3.71,walrus,57.56666666666667
97,1635,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,39,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,walrus,4.05
98,1636,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,21,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.28,3.28,dromedary,52.15
99,1637,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,50,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.52,3.52,dromedary,50.583333333333336
100,1638,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.68,3.68,dromedary,47.71666666666667
101,1639,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,39,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.93,3.93,dromedary,35.93333333333333
102,1641,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,32,0,0,female,1.0,0.0,safari,macos,UNKNOWN,7,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.6799999999999999,1.68,aoudad,27.95
104,1643,QuestPilot2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,29,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.99,3.99,aoudad,1.2
105,1644,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,firefox,windows,UNKNOWN,7,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,aoudad,54.38333333333333
106,1645,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,42,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.19,4.19,weasel,46.266666666666666
107,1646,QuestPilot2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,40,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.5,1.5,weasel,56.06666666666667
108,1647,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,firefox,windows,UNKNOWN,8,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,weasel,56.63333333333333
109,1648,QuestPilot2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,22,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.04,4.04,weasel,48.53333333333333
110,1649,QuestPilot2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,47,0,0,male,0.0,1.0,chrome,linux,UNKNOWN,9,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.5,1.5,rooster,5.783333333333333
112,1651,QuestPilot2,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1,31,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,9,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.88,3.88,rooster,42.11666666666667
114,1653,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,53,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,9,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.71,3.71,rooster,39.4
118,1657,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,69,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_3,2020-10-23,2020-10-23,,0.0,2,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,porcupine,
131,1888,QuestPilot1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1,40,,,male,,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333
133,1890,QuestPilot1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1,28,,,female,,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.16,,,55.11666666666667
134,1891,QuestPilot1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1,35,,,male,,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-07,2020-10-07,2020-10-07,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.37,,,57.81666666666667
135,1892,QuestPilot1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1,24,,,male,,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-07,2020-10-07,2020-10-07,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.72,,,21.116666666666667
139,1896,QuestPilot1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1,32,,,female,,,chrome,macos,UNKNOWN,0,0,irlexp7_2,2020-10-07,2020-10-07,2020-10-07,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.34,,,30.883333333333333
140,1897,QuestPilot1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1,42,,,female,,,firefox,windows,UNKNOWN,0,0,irlexp7_2,2020-10-10,2020-10-10,2020-10-10,0.0,3,debug,0,1,7,1,2020-10-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.99,,,32.25
142,1899,QuestPilot1,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1,63,,,female,,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-09,2020-10-09,2020-10-09,0.0,3,debug,0,1,7,1,2020-10-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.01,,,27.783333333333335
143,1900,QuestPilot1,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1,35,,,male,,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-09,2020-10-09,,0.0,2,debug,0,1,7,1,2020-10-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.75,,,
