,AD,CIT,SW
0,-0.22549270064399674,-0.5205120630313729,0.8044791752418932
1,0.9062163412093509,-0.15314532877573783,-0.38096297762988734
2,-0.3263619092179787,0.8203483006420247,-0.01726160828223288
3,-1.082343945321013,0.7651205219397861,0.5991370071016703
4,,,
5,,,
6,,,
7,,,
8,0.5474678653861911,-0.12539432808440462,-0.05368701603418918
9,-0.5052425719139382,-0.8317251380769157,-0.5279898907150613
10,-0.15722063311895748,-0.46371690205236005,-1.0379658811168673
11,-0.4235371775351212,-0.0036766056072919245,-1.0054594165085697
12,-1.3994010267344466,0.416485945680882,0.8877198145597275
13,0.8676409851844318,0.007662454232135421,-0.8093328707371714
14,-0.5192597864883375,-0.22985662108181287,-0.5166289324256605
15,0.7835744870292576,-0.07322131174118895,0.8104262890239327
16,0.0346464018709939,1.00906962447556,0.10114026810609156
17,-0.1874982916875207,0.30367433605831656,0.6930569908100429
18,-0.4809559382222828,0.6655073689587977,-0.275993030120904
19,-0.14844106668951662,0.10575981573133852,-0.24273971581905524
20,0.04430150727047821,-0.13220244864260772,-0.30886968637784407
21,-0.5637688943419246,1.777796611422603,1.1016408450045678
22,0.9923408389159223,-0.30057268604608955,-0.9998393098658149
23,-0.407580917959401,-0.47803773999289983,-0.31256606308492924
24,0.7481329453264656,-0.13117657396306076,-0.4312012177941674
25,0.39493805831518364,-0.47345397519446325,0.523046562491862
26,-0.42249796754882174,1.6445726326026224,0.6113094398473274
27,0.5822732933623784,-0.24216233169857104,-0.8609774699004467
28,0.3088202439913035,-0.42089130344994574,-1.1993345970557707
29,0.47056014965039944,0.08583520854030405,0.3124989337562
30,0.4384968076247416,0.4069494706962551,-0.3103819474857587
31,-0.9021843441248212,-0.3267239451886817,-0.5713544682264885
32,0.7350539939476026,-0.212645228464161,-0.6480593897373172
33,-0.316172853697598,-0.34858088261363074,0.13721009996996764
34,-0.6509201919420197,1.2284372329708253,-0.10324141723445385
35,-0.983301914206253,0.23190677567110352,0.6320908671690233
36,-0.6989228702645773,-0.13832810058399087,0.830622718405198
37,0.03799338431181981,0.7791539857147696,1.0448369109385405
38,-0.48233372101935895,-0.5040394750662006,-0.02457606752277694
39,-0.39958878689564253,-0.18976167484159098,0.19019501175445855
40,-0.05043511495273351,-0.6928451339470898,-0.5202250763009735
41,-0.6383882794576584,0.16451648390083193,-0.795616287693355
42,0.8455857931998163,-0.26192746194824346,-1.0570121794491008
43,0.3358703469805655,0.8731525031007538,0.013720067598490482
44,0.3418125965882669,-0.6585764065527945,0.5176085758315319
45,0.5691393266948435,-0.6016356479714033,-0.6216124219837615
46,0.5303531137059709,-0.6123760409694823,0.3689587174871328
47,-0.14514023500582304,1.5107189366814877,1.5781844971320764
48,0.2972967790922079,-0.22972521555094683,-0.7719838672685053
49,0.3006178246426579,-0.7217387200907596,-0.342245236894529
50,-1.043615944950007,0.20225316956764894,0.454942931103015
51,0.07721112372068947,-0.048878200198663735,-0.5447926965950682
52,-0.42652127400094886,-0.6947895312327832,-0.6953938942897188
53,-0.010867683333933148,-0.13493391372141417,0.2931290284802758
54,-0.07302162004248282,-0.5617517434791919,-0.3238324755889271
55,-0.2205087171947005,0.21446235312894393,-0.09217462698091108
56,-0.09094931378422799,0.7857341264360684,1.2318658316604592
57,0.11880715350224773,1.2727880699288607,0.6847719073356813
58,0.6501138966071738,0.23103354739869747,-1.088439670162903
59,-0.7483292307243963,0.2468248769076048,0.26354546740783835
60,0.9142087050604014,-0.7137018179616609,-1.0401254101183204
61,-0.49925047035229075,0.9710526704721937,0.6756620010162722
62,0.5408091142452691,1.1301326696192637,-0.7306708581187124
63,-0.06567251729937332,-0.5061316689732406,-0.3513787885753089
64,0.25518660204085514,-0.24251492910029065,-0.2412377210332791
65,0.1478647918141674,-0.5918807430305298,-1.0810302261673375
66,0.33129121141238527,0.7861476415487637,0.3087543930349401
67,-0.041665555747316924,-0.8150076181894854,-0.3633971678345177
68,0.3500505101021323,-0.7850741527750617,-0.8562786436990899
69,-0.26974912982299504,-0.6351019753299874,0.11707733234999762
70,0.0941013989118838,-0.2399648209382877,-0.9091998937222854
71,-0.4221021183933946,0.5878251656828198,1.2133943201717552
72,0.19445289469935145,-0.10506012131607176,-0.22649422909217518
73,-0.3365722855851371,-0.050624281222708414,0.8742448270535434
74,0.5366470868409638,-0.7840273951365144,-1.1548116984732948
75,-0.9836923000404267,-0.031330504165557715,-0.4221595023361314
76,0.21430731595575198,0.477473830566526,0.6526119938571926
77,-0.24885840273683912,0.7876310000230148,-0.014247814602512482
78,-0.3947573150301579,-0.7185762776619591,0.8457972269988793
79,0.051508146006292624,-0.7404249730159238,0.478381398554557
80,-0.37189303275519364,1.690492856532535,-0.6179795182201826
81,-1.1853560455292511,-0.5094731101137164,-0.15697791839542613
82,0.9525214860624616,-0.1717558605260625,-0.10541766006165404
83,0.6794847643360343,0.4681814762342394,0.9392969139139481
84,-0.22823366454446853,-0.10108428489099666,-1.062895631469845
85,-1.3755895643050102,1.56618055853763,1.1381741581711053
86,-1.2517053772539053,0.3766485539830897,0.49892041016988287
87,0.12271266540204834,-0.3307292137078754,-0.8447461762544438
88,-0.11603469932502006,0.6508310818407386,1.8093324069317478
89,0.05725375482466043,-0.6554485452225498,0.2663993584398581
90,0.16781962283836419,-0.4632662031497253,-0.28824526316086596
91,0.10489409781628639,-0.09857293538169262,-0.36923825231293594
92,0.2618531718100918,-0.12833302710651795,0.453237557200978
93,0.32495893289234895,-0.10217001866434453,-0.4325292826195362
