success,trial_type,time_elapsed,internal_node_id,view_history,rt,responses,correct,pid,revealed_states,num_clicks_accrued,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,stimulus,button_pressed
,instructions,987862,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":9703},{""page_index"":1,""viewing_time"":391457},{""page_index"":2,""viewing_time"":31379},{""page_index"":3,""viewing_time"":10508},{""page_index"":4,""viewing_time"":9450},{""page_index"":5,""viewing_time"":16438},{""page_index"":6,""viewing_time"":455399},{""page_index"":7,""viewing_time"":25823}]",950158,,,2368,,,,,,,,,,,,,,,,,
,instructions,1163763,0.0-1.1-0.1,"[{""page_index"":0,""viewing_time"":8414},{""page_index"":1,""viewing_time"":7843},{""page_index"":2,""viewing_time"":9760},{""page_index"":3,""viewing_time"":73136},{""page_index"":4,""viewing_time"":14386},{""page_index"":5,""viewing_time"":14626},{""page_index"":6,""viewing_time"":11047},{""page_index"":7,""viewing_time"":4342}]",143555,,,2368,,,,,,,,,,,,,,,,,
,instructions,1221007,0.0-3.0-0.0,"[{""page_index"":0,""viewing_time"":33280}]",33280,,,2368,,,,,,,,,,,,,,,,,
,instructions,34730,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":3625},{""page_index"":1,""viewing_time"":3051},{""page_index"":2,""viewing_time"":6358},{""page_index"":3,""viewing_time"":4143},{""page_index"":4,""viewing_time"":2487},{""page_index"":5,""viewing_time"":5759},{""page_index"":6,""viewing_time"":3795},{""page_index"":7,""viewing_time"":1832}]",31051,,,2370,,,,,,,,,,,,,,,,,
,instructions,81718,0.0-1.1-0.1,"[{""page_index"":0,""viewing_time"":1124},{""page_index"":1,""viewing_time"":2632},{""page_index"":2,""viewing_time"":2756},{""page_index"":3,""viewing_time"":4878},{""page_index"":4,""viewing_time"":2798},{""page_index"":5,""viewing_time"":1461},{""page_index"":6,""viewing_time"":6495},{""page_index"":7,""viewing_time"":1486}]",23630,,,2370,,,,,,,,,,,,,,,,,
,instructions,111531,0.0-3.0-0.0,"[{""page_index"":0,""viewing_time"":5833}]",5833,,,2370,,,,,,,,,,,,,,,,,
,instructions,72479,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":3859},{""page_index"":1,""viewing_time"":13986},{""page_index"":2,""viewing_time"":10861},{""page_index"":3,""viewing_time"":6733},{""page_index"":4,""viewing_time"":7506},{""page_index"":5,""viewing_time"":5351},{""page_index"":6,""viewing_time"":5543},{""page_index"":7,""viewing_time"":5074}]",58914,,,1754,,,,,,,,,,,,,,,,,
,instructions,163518,0.0-1.1-0.1,"[{""page_index"":0,""viewing_time"":1596},{""page_index"":1,""viewing_time"":12633},{""page_index"":2,""viewing_time"":16611},{""page_index"":3,""viewing_time"":7977},{""page_index"":4,""viewing_time"":5498},{""page_index"":5,""viewing_time"":4737},{""page_index"":6,""viewing_time"":10800},{""page_index"":7,""viewing_time"":1852}]",61704,,,1754,,,,,,,,,,,,,,,,,
,instructions,192466,0.0-3.0-0.0,"[{""page_index"":0,""viewing_time"":3184}]",3185,,,1754,,,,,,,,,,,,,,,,,
,instructions,59262,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":3918},{""page_index"":1,""viewing_time"":8003},{""page_index"":2,""viewing_time"":5814},{""page_index"":3,""viewing_time"":6155},{""page_index"":4,""viewing_time"":4848},{""page_index"":5,""viewing_time"":5860},{""page_index"":6,""viewing_time"":8517},{""page_index"":7,""viewing_time"":3767}]",46885,,,2367,,,,,,,,,,,,,,,,,
,instructions,97672,0.0-3.0-0.0,"[{""page_index"":0,""viewing_time"":7428}]",7429,,,2367,,,,,,,,,,,,,,,,,
,instructions,53589,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":3753},{""page_index"":1,""viewing_time"":9853},{""page_index"":2,""viewing_time"":4691},{""page_index"":3,""viewing_time"":5602},{""page_index"":4,""viewing_time"":7044},{""page_index"":5,""viewing_time"":5042},{""page_index"":6,""viewing_time"":7733},{""page_index"":7,""viewing_time"":1482}]",45200,,,2374,,,,,,,,,,,,,,,,,
,instructions,68816,0.0-3.0-0.0,"[{""page_index"":0,""viewing_time"":2028}]",2029,,,2374,,,,,,,,,,,,,,,,,
