,browser,platform,cond,counterbalance,codeversion,bonus,status,mode,pid,run,final_bonus,displayed_bonus,DEPTH,COST,MIN_TIME,inspectCost,bonusRate,variance,branching,first_trial,time_diff
766,chrome,macos,0,0,0.0.5,0,6,live,637,quest_main,3.2,3.2,0,0,7,1,0.002,2_4_24,312,False,49.38806666666667
767,chrome,windows,0,0,0.0.5,0,6,live,687,quest_main,3.65,3.65,0,0,7,1,0.002,2_4_24,312,True,74.7587
768,chrome,windows,0,0,0.0.5,0,6,live,819,quest_main,2.83,2.83,0,0,7,1,0.002,2_4_24,312,False,69.59043333333334
769,chrome,windows,0,0,0.0.5,0,6,live,818,quest_main,3.57,3.57,0,0,7,1,0.002,2_4_24,312,True,54.6321
770,chrome,windows,0,0,0.0.5,0,6,live,820,quest_main,3.1,3.1,0,0,7,1,0.002,2_4_24,312,True,59.51375
771,chrome,windows,0,0,0.0.5,0,6,live,639,quest_main,3.18,3.18,0,0,7,1,0.002,2_4_24,312,False,49.97188333333333
772,chrome,macos,0,0,0.0.5,0,6,live,911,quest_main,3.26,3.26,0,0,7,1,0.002,2_4_24,312,True,52.71038333333333
773,chrome,windows,0,0,0.0.5,0,2,live,885,quest_main,,,0,0,7,1,0.002,2_4_24,312,False,
774,chrome,windows,0,0,0.0.5,0,6,live,821,quest_main,3.3,3.3,0,0,7,1,0.002,2_4_24,312,False,45.82176666666667
775,chrome,windows,0,0,0.0.5,0,6,live,738,quest_main,3.33,3.33,0,0,7,1,0.002,2_4_24,312,False,69.14428333333333
776,chrome,windows,0,0,0.0.5,0,6,live,822,quest_main,2.94,2.94,0,0,7,1,0.002,2_4_24,312,True,47.54705
778,chrome,windows,0,0,0.0.5,0,6,live,779,quest_main,2.89,2.89,0,0,7,1,0.002,2_4_24,312,True,162.43775
779,chrome,windows,0,0,0.0.5,0,6,live,824,quest_main,3.21,3.21,0,0,7,1,0.002,2_4_24,312,True,71.12546666666667
780,chrome,chromeos,0,0,0.0.5,0,6,live,886,quest_main,3.35,3.35,0,0,7,1,0.002,2_4_24,312,False,64.74633333333334
781,chrome,windows,0,0,0.0.5,0,6,live,917,quest_main,3.27,3.27,0,0,7,1,0.002,2_4_24,312,True,96.86961666666667
782,firefox,windows,0,0,0.0.5,0,6,live,739,quest_main,3.01,3.01,0,0,7,1,0.002,2_4_24,312,True,59.84531666666667
783,opera,windows,0,0,0.0.5,0,6,live,825,quest_main,3.45,3.45,0,0,7,1,0.002,2_4_24,312,True,53.85038333333333
784,firefox,windows,0,0,0.0.5,0,6,live,740,quest_main,2.3,2.3,0,0,7,1,0.002,2_4_24,312,False,39.23276666666667
785,chrome,windows,0,0,0.0.5,0,6,live,871,quest_main,3.01,3.01,0,0,7,1,0.002,2_4_24,312,False,89.39808333333333
786,chrome,macos,0,0,0.0.5,0,6,live,905,quest_main,3.16,3.16,0,0,7,1,0.002,2_4_24,312,True,57.686683333333335
787,chrome,windows,0,0,0.0.5,0,6,live,741,quest_main,2.91,2.91,0,0,7,1,0.002,2_4_24,312,True,31.689983333333334
788,chrome,windows,0,0,0.0.5,0,6,live,827,quest_main,3.38,3.38,0,0,7,1,0.002,2_4_24,312,True,94.50941666666667
789,chrome,windows,0,0,0.0.5,0,6,live,826,quest_main,3.33,3.33,0,0,7,1,0.002,2_4_24,312,True,86.72475
790,chrome,windows,0,0,0.0.5,0,6,live,742,quest_main,3.29,3.29,0,0,7,1,0.002,2_4_24,312,True,50.4482
791,chrome,windows,0,0,0.0.5,0,6,live,744,quest_main,2.68,2.68,0,0,7,1,0.002,2_4_24,312,False,63.85678333333333
792,chrome,macos,0,0,0.0.5,0,6,live,830,quest_main,3.7,3.7,0,0,7,1,0.002,2_4_24,312,False,34.744083333333336
794,chrome,windows,0,0,0.0.5,0,6,live,829,quest_main,1.83,1.83,0,0,7,1,0.002,2_4_24,312,False,55.56471666666667
795,chrome,windows,0,0,0.0.5,0,6,live,743,quest_main,3.34,3.34,0,0,7,1,0.002,2_4_24,312,False,98.9592
796,chrome,macos,0,0,0.0.5,0,6,live,909,quest_main,3.49,3.49,0,0,7,1,0.002,2_4_24,312,True,49.5235
797,chrome,windows,0,0,0.0.5,0,6,live,745,quest_main,3.22,3.22,0,0,7,1,0.002,2_4_24,312,True,59.940866666666665
798,safari,macos,0,0,0.0.5,0,6,live,831,quest_main,2.2,2.2,0,0,7,1,0.002,2_4_24,312,True,122.75646666666667
799,chrome,windows,0,0,0.0.5,0,6,live,832,quest_main,3.22,3.22,0,0,7,1,0.002,2_4_24,312,False,51.16328333333333
800,chrome,windows,0,0,0.0.5,0,6,live,746,quest_main,3.19,3.19,0,0,7,1,0.002,2_4_24,312,False,64.27841666666667
801,chrome,windows,0,0,0.0.5,0,6,live,834,quest_main,3.01,3.01,0,0,7,1,0.002,2_4_24,312,False,117.6545
802,firefox,windows,0,0,0.0.5,0,6,live,836,quest_main,3.6,3.6,0,0,7,1,0.002,2_4_24,312,True,47.52186666666667
803,chrome,windows,0,0,0.0.5,0,6,live,833,quest_main,3.06,3.06,0,0,7,1,0.002,2_4_24,312,False,66.09575
804,firefox,windows,0,0,0.0.5,0,6,live,747,quest_main,3.39,3.39,0,0,7,1,0.002,2_4_24,312,True,87.33798333333333
805,chrome,windows,0,0,0.0.5,0,6,live,835,quest_main,3.38,3.38,0,0,7,1,0.002,2_4_24,312,True,49.6629
806,chrome,windows,0,0,0.0.5,0,6,live,837,quest_main,3.31,3.31,0,0,7,1,0.002,2_4_24,312,True,82.16031666666667
807,chrome,linux,0,0,0.0.5,0,6,live,872,quest_main,2.96,2.96,0,0,7,1,0.002,2_4_24,312,True,67.69866666666667
808,chrome,windows,0,0,0.0.5,0,6,live,748,quest_main,2.57,2.57,0,0,7,1,0.002,2_4_24,312,True,34.45381666666667
809,chrome,windows,0,0,0.0.5,0,6,live,838,quest_main,3.22,3.22,0,0,7,1,0.002,2_4_24,312,True,59.64138333333333
810,chrome,macos,0,0,0.0.5,0,6,live,749,quest_main,3.31,3.31,0,0,7,1,0.002,2_4_24,312,False,87.67351666666667
