,index,Participant id,Age,Sex
288,53,80,27,Female
289,54,109,21,Male
290,55,113,38,Female
291,56,108,22,Male
292,57,95,20,Female
293,58,106,26,Female
294,59,87,21,Female
295,60,99,53,Male
296,61,120,73,Female
297,62,81,27,Female
298,63,117,57,Female
299,64,92,40,Female
300,65,104,20,Male
301,66,79,27,Male
302,67,90,42,Female
303,68,125,20,Male
304,69,85,38,Female
305,70,118,74,Male
306,71,101,29,Male
307,72,126,34,Male
308,73,127,25,Male
309,74,145,23,Male
310,75,188,22,Male
311,76,130,21,Male
312,78,128,32,Male
313,79,154,35,Female
314,81,159,40,Female
315,82,157,26,Female
316,83,182,27,Male
317,84,183,20,Female
318,86,141,42,Female
319,87,163,22,Male
320,88,172,30,Male
321,89,177,29,Female
322,90,147,31,Male
323,91,190,27,Female
324,92,151,20,Male
325,93,148,27,Female
326,94,164,26,Male
327,95,133,41,Male
328,96,167,36,Male
329,97,186,53,Female
330,98,137,30,Prefer not to say
331,99,156,27,Male
332,100,191,42,Male
333,101,135,20,Male
334,102,140,20,Male
335,103,178,24,Male
336,104,189,40,Female
337,105,184,35,Female
338,106,149,26,Female
339,107,185,22,Male
340,108,161,30,Female
341,109,139,37,Female
342,110,152,25,Female
343,111,171,31,Male
344,112,153,33,Female
345,113,187,20,Female
346,114,136,27,Male
347,115,129,25,Male
348,116,143,25,Male
349,117,142,24,Male
350,118,219,29,Male
351,119,175,37,DATA_EXPIRED
352,120,211,23,Male
353,121,212,21,Male
354,122,200,21,Female
355,123,195,20,Male
356,124,199,26,Female
357,125,206,20,Male
358,126,196,21,Male
359,127,208,27,Male
360,128,209,21,Male
361,129,198,37,Female
362,130,207,46,Female
363,131,193,21,Male
364,132,203,54,Female
365,133,210,20,Male
366,134,192,39,Female
367,0,590,20,Male
368,1,761,35,Female
369,2,573,35,Male
370,3,595,21,Female
371,4,565,26,Male
372,5,599,28,Female
373,6,607,23,Female
374,7,589,30,Female
375,8,586,21,Male
376,9,596,24,Female
377,10,580,34,Male
378,11,578,22,Female
379,12,582,21,Female
380,13,575,27,Female
381,14,566,30,Male
382,15,587,24,Female
383,16,588,24,Female
384,17,606,25,Male
385,18,604,27,Female
386,20,572,23,Male
387,21,608,19,Female
388,22,592,24,Male
389,23,581,22,Male
390,24,568,31,Female
391,25,585,57,Male
392,26,579,35,Male
393,27,574,22,Female
394,28,584,25,Female
395,29,591,24,Male
396,30,593,64,Female
397,31,603,37,Male
398,32,628,46,Male
399,33,598,45,Male
400,34,577,32,Male
401,35,570,28,Female
402,36,617,22,Female
403,37,626,31,Male
404,38,637,28,Male
405,39,636,23,Female
406,40,622,25,Female
407,41,638,36,Male
408,42,631,38,Female
409,43,639,26,Female
410,44,615,47,Female
411,45,613,56,Female
412,46,624,60,Male
413,47,630,22,Male
414,48,635,27,Female
415,49,634,43,Male
416,50,618,32,Male
417,51,627,21,Male
418,52,629,27,Male
419,53,614,29,Female
420,54,633,30,Male
421,55,611,24,Female
422,56,623,23,Male
423,57,632,27,Male
424,58,616,33,Male
425,59,609,33,Male
426,60,621,55,Male
427,61,612,50,Male
428,62,610,54,Male
429,63,620,27,Female
430,64,619,27,Female
431,65,645,34,Female
432,66,663,19,Female
433,67,651,25,Male
434,68,650,34,Female
435,69,653,45,Male
436,70,659,27,Male
437,71,660,25,Male
438,72,654,30,Male
439,73,649,41,Female
440,74,652,33,Male
441,75,642,25,Female
442,76,656,25,Female
443,77,685,50,Male
444,78,646,25,Male
445,79,648,35,Female
446,80,640,21,Female
447,81,655,35,Female
448,82,662,52,Male
449,83,641,32,Male
450,84,643,61,Female
451,85,647,21,Male
452,86,644,22,Female
453,87,657,36,Female
454,88,686,22,Female
455,89,661,28,Male
456,90,675,56,Male
457,91,669,19,Male
458,92,684,40,Female
459,93,670,54,Female
460,94,668,38,Male
461,95,678,24,Male
462,96,683,43,Female
463,97,677,20,Prefer not to say
464,98,671,44,Female
465,99,664,23,Female
466,100,680,28,Female
467,101,665,36,Female
468,102,667,33,Male
