,pid,trial_index,action_times,actions,block,path,queries,rewards,rt,condition,bonus,score,simulation_mode,state_rewards,time_elapsed,trial_time,trial_type,run,trial_id,num_nodes,num_early,num_middle,num_late,num_clicks
1108,92,23,"[21377, 22481, 23080]","['up', 'up', 'right']",training,"['1', '2', '3']","{'click': {'state': {'target': ['9', '5', '1', '10', '6', '8', '7', '11', '12', '2', '4', '3'], 'time': [1646, 4127, 5321, 6586, 7856, 9193, 10522, 14233, 15471, 16581, 17633, 20288]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '5', '1', '1', '10', '6', '8', '7', '11', '12', '2', '4', '3'], 'time': [661, 2426, 4559, 4892, 6228, 7143, 8628, 10081, 12279, 15014, 16151, 17264, 19930]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '5', '1', '1', '10', '9', '5', '6', '8', '6', '7', '1', '11', '10', '12', '2', '4', '2', '3'], 'time': [2161, 4516, 4595, 5813, 6970, 7003, 7099, 8592, 9877, 9977, 10857, 10931, 14660, 14893, 15818, 16975, 19672, 19734, 20647]}, 'edge': {'target': [], 'time': []}}}","[-5, 10, 10]","[18.830000000889413, 18584.555000001215, 40.33999999961816]",2,[],3,"[None, None, None]","['', -5, 10, 10, 5, 5, -5, 5, -10, 5, -5, -5, -5]",549361,[],mouselab-mdp,c1.1,5497153602111003338,12,0,0,0,0
1109,92,24,"[10185, 10780, 11386]","['left', 'left', 'up']",training,"['9', '10', '11']","{'click': {'state': {'target': ['1', '5', '9', '10', '11', '12'], 'time': [1269, 3039, 4068, 5387, 6327, 8883]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '2', '5', '0', '0', '9', '10', '11', '12'], 'time': [770, 2167, 2765, 3366, 3497, 3629, 4866, 5869, 7010]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '2', '1', '5', '0', '0', '9', '10', '11', '10', '12'], 'time': [1887, 2400, 2459, 3332, 3382, 3516, 4452, 5741, 6702, 6842, 9382]}, 'edge': {'target': [], 'time': []}}}","[5, -10, 10]","[473.79999999981374, 21372.239999996964, 594.7950000044657]",2,[],-1,"[None, None, None]","['', -5, 5, -10, 5, -5, -5, 5, -5, 5, -10, 10, 5]",562467,[],mouselab-mdp,c1.1,-9223140426054324916,6,0,0,0,0
1110,92,25,"[17257, 18329, 18953]","['up', 'up', 'left']",test,"['1', '2', '4']","{'click': {'state': {'target': ['9', '5', '1', '2', '3', '4', '6', '7', '8'], 'time': [2255, 3905, 5072, 6430, 7403, 8957, 12709, 13822, 14834]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '0', '5', '5', '1', '2', '3', '4', '6', '7', '8'], 'time': [1772, 2735, 2822, 3423, 4423, 5738, 7128, 8449, 12400, 13227, 14470]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '0', '5', '5', '1', '2', '3', '2', '4', '5', '6', '7', '6', '8'], 'time': [2706, 2793, 3073, 4203, 5630, 6959, 7801, 8244, 9195, 12164, 13141, 14125, 14219, 15171]}, 'edge': {'target': [], 'time': []}}}","[10, -10, 5]","[87.70000000367872, 10177.335000000428, 87.87499999743886]",2,[],-4,"[None, None, None]","['', 10, -10, 10, 5, 5, -10, -10, 10, -10, -5, 5, 10]",572881,[],mouselab-mdp,c1.1,-7479633459398711011,9,0,0,0,0
1111,92,26,"[21431, 22220, 22739]","['up', 'up', 'left']",test,"['1', '2', '4']","{'click': {'state': {'target': ['9', '5', '6', '7', '8', '1', '2', '3', '4', '11', '12', '10'], 'time': [1596, 2663, 3593, 4654, 6022, 7950, 9208, 10244, 11311, 12563, 14185, 15907]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '0', '5', '6', '7', '8', '2', '1', '2', '3', '4', '11', '10', '12', '10', '10'], 'time': [1126, 1931, 2317, 3152, 4250, 5413, 6697, 7113, 8466, 9892, 10946, 11940, 12925, 13743, 14957, 15356]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '0', '5', '6', '7', '6', '8', '2', '1', '2', '3', '2', '4', '11', '10', '12', '10', '10'], 'time': [1905, 1950, 3068, 4134, 5202, 5330, 6467, 7065, 8384, 9718, 10798, 10862, 11754, 12890, 12987, 14594, 14972, 16314]}, 'edge': {'target': [], 'time': []}}}","[5, -5, 5]","[100.0999999960186, 17254.095000003814, 561.1299999945331]",2,[],-7,"[None, None, None]","['', 5, -5, -10, 5, 10, -5, -5, -10, -5, -10, -5, 10]",594303,[],mouselab-mdp,c1.1,-3907738530445615459,12,0,0,0,0
1112,92,27,"[8240, 8808, 9325]","['up', 'up', 'right']",test,"['1', '2', '3']","{'click': {'state': {'target': ['9', '1', '4', '3', '2'], 'time': [2055, 3182, 4891, 5826, 6808]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '1', '9', '1', '4', '2', '3', '2'], 'time': [1144, 1184, 1642, 2783, 4516, 5221, 5390, 6183]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '1', '9', '1', '1', '4', '2', '3', '2'], 'time': [1180, 1288, 2617, 3600, 4117, 5183, 5273, 6149, 7297]}, 'edge': {'target': [], 'time': []}}}","[10, -5, 5]","[117.18500000284985, 21419.959999999264, 274.1700000043493]",2,[],5,"[None, None, None]","['', 10, -5, 5, -5, 10, 5, 10, 5, -10, -10, 5, -10]",618661,[],mouselab-mdp,c1.1,-3419255245952545746,5,0,0,0,0
1113,92,28,"[7594, 8151, 8803]","['up', 'up', 'left']",test,"['1', '2', '4']","{'click': {'state': {'target': ['1', '5', '9', '4'], 'time': [1289, 3235, 4285, 5475]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '2', '5', '0', '9', '2', '4', '2', '3'], 'time': [888, 2106, 2824, 3600, 3900, 4738, 5105, 5808, 5879]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '2', '5', '0', '9', '1', '2', '4', '2'], 'time': [2007, 2597, 3537, 3700, 4559, 4671, 4938, 5778, 5846]}, 'edge': {'target': [], 'time': []}}}","[5, 10, 10]","[6.820000002277084, 8237.334999997984, 57.11999999766704]",2,[],21,"[None, None, None]","['', 5, 10, 5, 10, -10, 10, -10, -10, -5, -10, -10, 10]",632319,[],mouselab-mdp,c1.1,1527002837571303241,4,0,0,0,0
1114,92,29,"[19762, 20382, 20924]","['left', 'left', 'up']",test,"['9', '10', '11']","{'click': {'state': {'target': ['1', '4', '3', '2', '5', '9', '10', '11', '12'], 'time': [4502, 7302, 8468, 10764, 12060, 14624, 16161, 17400, 18576]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['3', '7', '1', '5', '2', '4', '2', '3', '0', '5', '2', '2', '5', '0', '9', '10', '11', '12'], 'time': [1298, 1567, 3820, 5070, 6443, 6863, 7769, 8051, 9260, 9407, 10056, 10423, 11666, 12540, 14238, 15344, 16888, 18004]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['3', '7', '1', '5', '1', '2', '4', '2', '3', '1', '0', '5', '2', '2', '1', '5', '0', '9', '10', '11', '10', '12'], 'time': [1366, 1612, 5008, 6049, 6232, 6683, 7725, 7867, 8945, 9066, 9285, 9947, 10172, 11308, 11384, 12513, 12667, 15286, 16622, 17807, 17922, 19035]}, 'edge': {'target': [], 'time': []}}}","[10, 10, 5]","[11.109999999520369, 7590.889999999432, 42.50999999931082]",2,[],16,"[None, None, None]","['', 10, -10, -10, -5, -10, 10, -10, -5, 10, 10, 5, -5]",652436,[],mouselab-mdp,c1.1,-7551434874100481170,9,0,0,0,0
1115,92,30,"[9668, 10209, 10734]","['right', 'right', 'up']",test,"['5', '6', '7']","{'click': {'state': {'target': ['9', '1', '5', '7', '8'], 'time': [1805, 2958, 4172, 5738, 8667]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['12', '9', '1', '5', '6', '7', '6', '8'], 'time': [909, 1391, 2611, 3707, 4936, 5217, 6146, 6206]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['12', '9', '1', '5', '6', '7', '6', '8'], 'time': [993, 2150, 3354, 4762, 5101, 6126, 6177, 9103]}, 'edge': {'target': [], 'time': []}}}","[10, 5, 5]","[143.54000000457745, 19755.13000000501, 105.94000000122469]",2,[],15,"[None, None, None]","['', 5, 5, -10, -10, 10, 5, 5, 5, -5, 10, -5, -10]",676383,[],mouselab-mdp,c1.1,-8869795501651384713,5,0,0,0,0
1116,92,31,"[7789, 8348, 8947]","['up', 'up', 'left']",test,"['1', '2', '4']","{'click': {'state': {'target': ['5', '9', '1', '4'], 'time': [1585, 2711, 3776, 5326]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['8', '0', '0', '5', '0', '9', '0', '1', '2', '4', '2', '3'], 'time': [533, 913, 945, 1196, 2060, 2328, 3069, 3406, 4419, 4890, 5645, 5700]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['8', '0', '0', '5', '0', '9', '0', '1', '2', '4', '2'], 'time': [800, 932, 1154, 2049, 2185, 3025, 3089, 4334, 4833, 5639, 5684]}, 'edge': {'target': [], 'time': []}}}","[10, 5, 5]","[33.12500000174623, 9665.740000004065, 28.140000002109446]",2,[],16,"[None, None, None]","['', 10, 5, -5, 5, -10, -10, 10, 10, -10, 10, -10, 5]",686874,[],mouselab-mdp,c1.1,7552237654586357727,4,0,0,0,0
1117,92,32,"[9269, 9916, 10937]","['right', 'right', 'down']",test,"['5', '6', '8']","{'click': {'state': {'target': ['9', '5', '1', '7', '8'], 'time': [2678, 4086, 5163, 6743, 7839]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['3', '1', '0', '0', '0', '1', '9', '0', '5', '1', '6', '7', '6', '8'], 'time': [389, 948, 1083, 1355, 1399, 1751, 2290, 3097, 3189, 4839, 5719, 6345, 7178, 7320]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['3', '1', '0', '0', '0', '1', '9', '0', '5', '1', '5', '6', '7', '6'], 'time': [421, 1020, 1170, 1386, 1438, 2092, 3065, 3116, 4382, 5658, 5685, 6122, 7121, 7261]}, 'edge': {'target': [], 'time': []}}}","[5, -10, 10]","[22.69000000518281, 7786.7949999999255, 50.83500000182539]",2,[],0,"[None, None, None]","['', -5, -10, 5, 10, 5, -10, -10, 10, -10, 5, -5, -5]",697268,[],mouselab-mdp,c1.1,-8177337623937778033,5,0,0,0,0
